"catcher","game_year","close_pitches","strikes_gained","SG100"
691011,2025,5,2.66725306212902,53.3450612425804
595453,2025,7,2.29999063909054,32.8570091298648
695600,2025,95,11.0173129243776,11.5971714993449
623168,2024,93,10.2309299279004,11.0009999224736
506702,2025,68,5.46889060921967,8.04248619002893
669087,2024,34,2.71803254261613,7.99421336063567
663584,2025,765,45.6795650348067,5.97118497187016
571912,2025,490,28.2938825404271,5.77426174294432
672386,2025,3296,185.06294476334,5.61477380956736
641555,2025,755,39.9215095322579,5.28761715659045
623168,2025,1388,69.6514782067388,5.01811802642211
663967,2024,229,11.2966115893796,4.93301816130114
663967,2025,121,5.93633810430765,4.90606454901459
682515,2025,81,3.94420114066452,4.86938412427718
595978,2025,1588,76.3414852684364,4.80739831665216
672275,2024,3448,153.343984938227,4.44733134971655
595978,2024,1418,60.3620693245903,4.25684550949156
624431,2024,1947,78.2416331069544,4.01857386270952
680728,2025,101,3.81864522397518,3.78083685542097
665561,2025,969,34.1793226134032,3.52727787548021
668974,2025,436,14.9298432478681,3.42427597428168
672275,2025,3628,122.316361786332,3.37145429400033
668800,2024,807,25.8812491921708,3.2070940758576
605244,2025,24,0.76872784551233,3.20303268963471
671056,2025,356,11.0126338675618,3.0934364796522
668670,2024,2570,77.3777178172022,3.01080614074717
681807,2024,443,13.1654525948688,2.97188546159567
656883,2024,134,3.93287736363709,2.93498310719186
672386,2024,2808,78.888918295037,2.80943441221642
666165,2025,156,4.35296785924584,2.79036401233707
668670,2025,1135,30.9695010380819,2.72859039983101
543877,2024,2505,67.6306806630455,2.69982757137906
624512,2025,1099,29.6432222891599,2.69729047217105
693307,2025,3399,91.0748880389147,2.67946125445468
686482,2024,267,7.14605669584125,2.6764257287795
668800,2025,744,19.8774210475385,2.67169637735733
663728,2024,3647,93.3858236623928,2.56062033623232
656577,2025,873,21.9969336953945,2.51969458137395
605131,2025,389,9.58869971893728,2.46496136733606
686780,2025,3193,78.031665133778,2.44383542542368
666310,2024,3119,71.6736270645633,2.29796816494272
669224,2025,3419,77.7512524724007,2.27409337444869
606992,2024,578,13.0119590722024,2.25120399173053
669224,2024,3039,68.1202696496621,2.24153569100566
672515,2025,2107,46.3125284314156,2.19803172431968
