,player_name,mlbAM_ID,Stuff,Season,FF_pfx_z_diff,FF_pfx_x_CU_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CU_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CU_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CU_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_CU_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_CU_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CU_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CU_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CU_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CU_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Civale, Aaron",650644.0,150.0,2020,2.657242039,0.9865012980000001,1.3307680739999999,0.33997266700000006,15.578078449999992,496.52917800000023,0.08599425900000002,0.04747847500000013,1.160213962,1.9349720270000001,0.3822973449999999,-1.15705541,6.5599482199999954,132.72661000000016,0.18525949200000003,0.09331180800000016,2.041513853,0.03592063200000006,2.28134874,-0.27575551899999995,9.62220902,804.34211,0.39782100100000006,0.26055757099999965,2.295886005,0.18929998400000003,2.127969388,-0.021383366999999986,16.073120270000004,567.8879000000002,0.26716809500000005,0.18710213099999962,2.048927375,1.733913751,0.5833556209999999,-0.26834199699999994,11.729445889999994,338.34854700000005,0.0970266540000001,0.019885376999999593
1,"Nola, Aaron",605400.0,147.0,2020,1.999645425,-0.30242600399999997,2.410824697,-0.10875326800000007,14.241115780000001,318.3519919999999,0.0005333800000000277,0.12373739500000003,,,,,,,,,1.049029183,-0.358454893,2.466853586,-1.05936951,6.313167649999997,981.145123,0.14953145199999995,0.23524353699999967,1.5379034900000002,-0.5997174779999999,2.708116171,-0.570495203,13.173281680000002,397.83720700000003,0.002133670999999948,0.13621205000000014,,,,,,,,
2,"Nola, Aaron",605400.0,126.0,2021,2.038176249,-0.251778908,2.32215344,-0.03219828299999983,14.432986790000001,331.12346800000023,0.009371010999999818,0.11067128000000004,,,,,,,,,1.038443754,-0.398483241,2.468857773,-1.031930778,6.687133439999997,1018.3095640000001,0.161967172,0.25353488599999974,1.591082932,-0.6040123060000001,2.674386838,-0.47929159999999993,13.584093979999992,392.11190399999987,0.009248439999999913,0.14547012700000028,1.479824133,0.936563264,1.1338112679999999,-0.590550399,8.249549470000005,350.22463700000026,0.14610351199999982,0.025917331999999682
3,"Nola, Aaron",605400.0,118.0,2023,2.18154123,-0.09687286699999997,2.0616323349999996,0.2167817620000001,13.350498920000007,286.55158299999994,0.001510501000000053,0.05711742300000022,,,,,,,,,1.306847624,-0.31004981200000004,2.27480928,-0.6579118439999999,6.557525920000003,1032.588119,0.1275507699999998,0.23819502399999948,1.676225102,-0.5314896750000001,2.496249143,-0.28853436599999993,12.40895071,369.1998920000001,0.013689515000000041,0.12395500299999984,1.4558922170000002,0.988022651,0.9767368169999999,-0.5088672509999999,6.95546349,324.3376189999999,0.003108184000000014,0.04990405399999975
4,"Wainwright, Adam",425794.0,137.0,2020,2.395834204,0.986996995,1.589828848,-0.18099163900000015,15.666605700000005,572.5295270000001,0.033165011999999994,0.10358374700000006,,,,,,,,,1.751339766,0.04351367900000014,2.533312164,-0.8254860770000001,8.35512946,1107.341964,0.21736077199999992,0.1324108449999999,2.121562333,0.16449884100000012,2.412327002,-0.4552635100000001,15.782700200000008,603.1257809999997,0.016722399999999915,0.16801988599999973,1.683046236,1.6755814470000001,0.9012443960000001,-0.8937796070000001,11.519979430000006,447.4868919999999,0.01954489100000001,0.08254760699999952
5,"Wainwright, Adam",425794.0,133.0,2021,2.445529071,1.06784741,1.54206555,-0.164383889,15.548205980000006,611.5373549999999,0.00743030999999994,0.09521182900000014,,,,,,,,,1.871708543,0.07446364500000002,2.535449315,-0.738204417,9.264800860000008,1124.413113,0.15839201899999988,0.14692269000000024,2.251176676,0.16635068899999994,2.4435622710000002,-0.3587362839999999,15.579784990000007,609.8052860000003,0.03189478899999987,0.15384524800000055,1.768594178,1.7574665820000002,0.8524463779999999,-0.8413187819999999,11.464340610000008,430.9336250000001,0.009551710999999852,0.06385495500000005
6,"Mills, Alec",621219.0,68.0,2020,2.032263498,0.07718016399999994,1.86627054,0.08881279400000008,23.16095657000001,196.278773,0.029012323999999978,0.0036132630000000887,0.67228762,2.250919199,0.30746849499999995,-1.2711630839999999,10.864136400000007,205.88176399999975,0.041887323999999726,0.12200296499999919,1.179124609,-0.394972613,2.338423317,-0.7643260949999999,14.09345657,668.3569050000003,0.006140454000000073,0.18528951399999993,1.475706399,-0.47895409499999997,2.4224047989999997,-0.46774430499999997,23.26560164,192.93780800000013,0.02131324999999995,0.05732655099999917,,,,,,,,
7,"Heaney, Andrew",571760.0,89.0,2020,1.599635723,1.446015308,1.630810848,1.784431263,12.30012214,114.81165400000009,0.012939471000000147,0.15425955899999977,,,,,,,,,0.96270805,1.6466763039999999,1.831471844,1.14750359,3.752325880000001,544.778407,0.044942861,0.02084243000000008,,,,,,,,,,,,,,,,
8,"DeSclafani, Anthony",543101.0,84.0,2021,1.871181081,-0.28631891900000006,1.327232381,0.830267619,11.115390169999998,300.19382299999984,0.06106047200000009,0.10208509299999946,0.897717479,0.8593713669999999,0.18154209500000007,-0.14319598300000003,4.983392659999993,233.26612499999987,0.012903782999999835,0.0588661109999995,0.9256716469999999,-0.794811624,1.835725086,-0.11524181500000003,5.26426579999999,381.87678200000005,0.10640691999999996,0.11870621300000028,1.447502424,-0.7826026180000001,1.82351608,0.40658896199999994,11.041071429999988,127.16258499999981,0.11738849400000007,0.08197519299999989,,,,,,,,
9,"Senzatela, Antonio",622608.0,96.0,2020,1.467807734,0.06719008700000006,1.145495098,0.2551225490000001,15.221906320000002,176.88633100000015,0.50378159,0.37395860500000033,0.720885185,1.0038851850000001,0.20879999999999993,-0.49179999999999996,7.1425925899999925,138.90481500000033,0.5265296290000001,0.32773703700000034,1.309820602,-0.13392939799999992,1.346614583,0.09713541700000006,7.260040509999996,188.22627300000022,0.5239525459999999,0.3820109949999999,,,,,,,,,,,,,,,,
