,player_name,mlbAM_ID,Stuff,Season,FF_pfx_z_diff,FF_pfx_x_FC_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_FC_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_FC_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_FC_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_FC_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_FC_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_FC_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_FC_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_FC_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_FC_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff
0,"Civale, Aaron",650644.0,104.0,2020,0.608314664,-1.062426077,0.7474124529999999,0.923328288,3.8486325599999986,158.18063100000018,0.011032395000000084,0.027593098000000538,2.048927375,0.26834199699999994,0.5833556209999999,-1.733913751,11.729445889999994,338.34854700000005,0.0970266540000001,0.019885376999999593,0.8887134130000001,-0.11395534799999996,0.20105827600000004,-0.573699789,5.169497669999998,205.6219369999999,0.08823283799999992,0.07342643100000057,0.007413522000000006,-2.013006743,1.697993119,0.307600102,2.107236869999994,465.993563,0.30079434699999996,0.24067219400000006,0.24695862999999996,-1.859627391,1.544613767,0.561972254,4.34367438000001,229.53935300000012,0.17014144099999995,0.16721675400000002
1,"Nola, Aaron",605400.0,102.0,2021,0.5583521160000001,-1.731603041,1.188342172,1.101612985,6.183437319999996,19.101169000000027,0.136732501,0.08475394800000036,1.479824133,0.590550399,1.1338112679999999,-0.936563264,8.249549470000005,350.22463700000026,0.14610351199999982,0.025917331999999682,,,,,,,,,0.44138037899999993,-1.8783073739999998,1.335046505,0.10188048999999999,1.5624160300000085,668.0849269999999,0.015863660000000168,0.22761755400000006,0.11125879900000002,-2.083836439,1.5405755700000001,0.6545196679999999,5.334544509999986,41.88726699999961,0.1368550719999999,0.1195527950000006
2,"Nola, Aaron",605400.0,111.0,2023,0.725649013,-1.552765084,1.084895518,1.193518579,6.395035430000007,37.78603599999997,0.0015976829999999609,0.007213369000000469,1.4558922170000002,0.5088672509999999,0.9767368169999999,-0.988022651,6.95546349,324.3376189999999,0.003108184000000014,0.04990405399999975,,,,,,,,,0.14904459300000006,-1.765942029,1.298072463,0.318824973,0.3979375699999963,708.2505000000001,0.1244425859999998,0.18829096999999972,0.22033288499999992,-1.9873818920000001,1.519512326,0.688202451,5.4534872199999995,44.86227300000019,0.016797699000000055,0.07405094900000009
3,"Wainwright, Adam",425794.0,101.0,2020,0.712787968,-0.696049241,0.6885844520000001,0.7202527569999999,4.146626269999999,125.04263500000025,0.052709903,0.021036140000000536,1.683046236,0.8937796070000001,0.9012443960000001,-1.6755814470000001,11.519979430000006,447.4868919999999,0.01954489100000001,0.08254760699999952,,,,,,,,,0.06829353000000005,-1.639532557,1.632067768,0.07575831899999996,3.164849970000006,659.8550720000001,0.19781588099999992,0.049863238000000365,0.43851609700000005,-1.518547395,1.511082606,0.44598088599999997,4.262720770000001,155.63888899999984,0.0028224910000000936,0.0854722790000002
4,"Wainwright, Adam",425794.0,106.0,2021,0.6769348929999999,-0.700746768,0.689619172,0.6880624889999999,4.083865369999998,180.6037299999998,0.016982020999999792,0.03135687400000009,1.768594178,0.8413187819999999,0.8524463779999999,-1.7574665820000002,11.464340610000008,430.9336250000001,0.009551710999999852,0.06385495500000005,,,,,,,,,0.10311436499999993,-1.694130533,1.683002937,0.11424196099999995,2.1995397499999996,693.479488,0.14884030800000003,0.0830677350000002,0.48258249799999997,-1.6022434890000001,1.591115893,0.493710094,4.11544438,178.87166100000013,0.022343078000000016,0.0899902930000005
5,"Morton, Charlie",450203.0,103.0,2021,0.7274571820000001,-1.3988311900000001,1.288399817,0.8378885550000001,8.038982219999994,84.02244500000006,0.11937419000000005,0.08127004099999979,1.1540210389999999,1.0646559679999998,1.175087341,-1.043589666,6.840189989999999,628.428633,0.010941748999999668,0.021955668000000372,,,,,,,,,0.06506474299999998,-1.817517573,1.7070862,0.04536663000000002,1.0527117999999973,324.1560489999997,0.04500554900000031,0.024673326000000273,0.171107697,-1.7618027509999998,1.651371378,0.28153907,7.162241729999991,308.44972199999984,0.14431372500000017,0.06828124000000013
6,"Morton, Charlie",450203.0,89.0,2023,0.32787671399999996,-1.6848627070000002,1.059618263,0.953121158,5.738471169999997,172.80429099999992,0.06851497200000001,0.11654867599999985,1.233525551,0.551531452,1.176775896,-0.608281107,6.797822659999994,607.943143,0.050363915999999787,0.004725877000000267,,,,,,,,,0.557295129,-2.018767732,1.393523288,0.067949315,3.0786925499999995,349.08908599999995,0.0033188740000000827,0.028643226999999882,0.14671982100000003,-2.0635037400000003,1.438259296,0.478524623,5.122173079999996,331.0215739999999,0.020923507000000008,0.051654494000000106
7,"Bassitt, Chris",605135.0,88.0,2020,0.564664527,-1.313310156,0.775798419,1.1021762640000001,5.450151539999993,23.42580399999997,0.017185773000000015,0.03476644699999998,1.870787044,0.3467410459999999,0.884252783,-1.3332753069999999,17.800680490000005,1.177763000000141,0.46520810300000004,0.33302262999999943,0.813997317,0.4206455399999999,0.958157277,-0.27648558,12.713682090000006,54.90828300000021,0.08377263599999996,0.08144366199999986,0.12479502499999995,-2.112627656,1.575115919,0.662306762,4.2556555799999956,233.86577799999986,0.1251154350000001,0.12492231699999934,0.3096552349999999,-1.976660554,1.439148817,0.8471669719999999,4.803175839999994,71.10116799999969,0.09380749899999996,0.04353556199999975
8,"Bassitt, Chris",605135.0,95.0,2023,0.430815265,-1.0958741550000002,0.640968101,0.8857213190000001,4.655387719999993,50.68852900000002,0.0027947870000000208,0.04700934100000076,1.8446574400000002,0.49630702699999996,0.951213081,-1.389751386,17.123989800000004,63.56382200000007,0.277499921,0.23011042499999945,0.8137360250000001,0.5484836009999999,1.0033896549999999,-0.358829971,12.18521306000001,97.268869,0.21072200600000013,0.20871470900000055,0.0977036160000001,-2.002961681,1.548055627,0.35720243799999996,4.17122904,450.0993780000001,0.0566068420000001,0.09509818800000058,0.055836281999999904,-1.9913054190000001,1.5363993649999999,0.510742336,4.1073369799999995,108.7558039999999,0.02056047900000002,0.08929108400000008
9,"Flexen, Chris",623167.0,95.0,2021,0.917290527,-0.78610805,0.584655266,1.118743311,3.6904211800000013,192.34224099999983,0.023043953999999922,0.008533750999999867,1.69571299,0.04040328900000001,0.241856073,-1.494260206,11.856337069999995,408.53502500000013,0.063171969,0.012887098999999402,,,,,,,,,0.18442697600000002,-1.633670472,1.432217688,0.38587976,6.357042300000003,973.6475149999999,0.10291646799999998,0.16952557000000024,,,,,,,,
