,player_name,FF_pfx_z_diff,FF_pfx_x_FC_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_FC_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_FC_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_FC_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_FC_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_FC_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_FC_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_FC_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_FC_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_FC_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff
0,"Alexander, Tyler",0.7204107418623774,0.13421110687711835,0.9510394897815928,1.8056613385210887,4.571795591745058,73.92797309854723,0.04537414010950469,0.07264461870667116,,,,,,,,,0.7353992912417734,1.872247776090258,0.786997179431547,0.3498513054169378,7.737509221089169,11.290590872930352,0.11248643957474513,0.12770955377160575,0.07610232154480367,0.3741885875461054,1.4594391842048164,1.0091482751139074,2.682963766543722,818.1208939032331,0.04408643957474556,0.038776220438273334,0.29755627145230534,0.4495350700388777,1.534785666697589,1.3828068681110164,4.613554061917583,221.99355692925292,0.05384846977069824,0.017170952208269696
1,"Anderson, Tyler",0.6908715296355746,0.18900589630926723,0.8348389008688633,1.7147163268137051,5.06648939907366,190.20600872286286,0.5016600461544283,0.28477485754639353,1.5035631613756615,0.9760631613756614,0.04778163580246911,0.4797183641975309,12.452959656084658,279.8105158730159,0.5244907407407409,0.41613977072310426,,,,,,,,,0.061841919044373084,0.29820716071022824,1.3220519578883587,0.9620028781337574,6.62491901191288,572.949089492648,0.3652315382867528,0.3447885437292397,0.2514849509931478,0.6184604041981089,1.6423052013762394,0.7723598461849827,3.3395437592158856,193.81290658339822,0.7785488767455977,0.8900419232659669
2,"Armstrong, Shawn",0.6464262693156733,1.12069293598234,0.8284929359823399,0.9386262693156734,3.0604481236203043,158.43697571743905,0.06245761589403953,0.05379227373068396,,,,,,,,,0.856372463768116,0.15768550724637664,0.44988550724637677,0.5641724637681159,6.15059420289856,56.987681159419935,0.06795797101449286,0.0755550724637688,,,,,,,,,0.26668742138364776,1.9763584007187782,1.6841584007187782,0.5588874213836479,3.30421653189579,309.751527403414,0.08857978436657676,0.11248508535489599
3,"Ashcraft, Graham",,,,,,,,,,,,,,,,,1.041263191219924,0.13645420008442377,0.8890512874630646,0.2886661038412831,11.532956943858196,333.242551252848,0.17173744195863216,0.16641008864499796,0.30981391585760515,1.9223139158576052,1.1697168284789643,0.4427831715210357,7.447087378640802,596.9299999999998,0.4124838187702262,0.36038834951456344,0.25911756882564163,1.6104326373187923,0.8578355499401515,0.4934795185529992,0.07311477590107529,191.83407854984898,0.3344450059848383,0.3025527330762072
4,"Bassitt, Chris",0.42288596880796225,1.1734200997936204,0.6751428720708482,0.9211631965307345,4.272326340813507,71.87706788960077,0.052648867525274756,0.056995950782413374,1.856542110071356,0.5293930520234069,1.0276702797461792,1.3582648823485837,17.389676304288784,67.39301547718014,0.3775088516332932,0.3016697859312112,0.646653895824365,0.36867219113215666,0.8669494188549289,0.14837666810159278,10.12109341368918,68.43692201518297,0.17209621179509238,0.15040486439948353,0.15075700141442716,2.0677284299858556,1.5694512022630833,0.3475202263083451,3.546981612446956,439.3627531472357,0.12122602545968864,0.038147100424327895,0.06705417870979646,2.054757415493102,1.5564801877703298,0.5653314064325687,3.8217844331016835,145.286968500699,0.01629405735604661,0.00647215218416175
5,"Bieber, Shane",0.7332543012543012,1.447048729048729,0.8703234543234543,1.309979575979576,4.360795870795883,291.218570318571,0.15155533355533346,0.041813963813963184,1.6426511737289948,0.09256283405310639,0.6692881087783812,1.0659258990037201,4.883336896566462,300.4113738401684,0.13203129943985958,0.044824261341770644,0.5400769619073507,0.5021617675610609,0.0745635071642139,0.03664831281792408,1.8887715347079137,17.89825834542762,0.07243158725844223,0.010006989476953443,0.20135115630638023,1.8110526488436935,1.2343273741184189,0.37537411841889456,0.5436772183040688,939.9132032146961,0.01880695423978973,0.03750369033951095,,,,,,,,
6,"Blackburn, Paul",0.9428735682054842,0.8771761830382968,0.9685133923406224,0.8515363589031586,4.38968963322921,352.1561807580174,0.02235089089436526,0.015428525974777507,1.7913699510403918,0.2778230314157487,0.18648582211342313,1.8827071603427172,8.322852917176661,119.26890696128066,0.0048065075479397645,0.007076601387188575,1.266607530971528,0.7623644316452945,0.671027222342969,1.3579447402738536,8.095422190828074,94.97400615787046,0.0341651271462724,0.07828434036079113,0.19198808530607991,1.5088190895818125,1.600156298884138,0.10065087600375433,1.131837261445412,673.6998130450131,0.027598420064657736,0.04291049640212741,0.4132516611295681,1.4821303986710963,1.573467607973422,0.32191445182724254,4.57495847176078,482.46568158996433,0.019489202657807736,0.0422965116279066
7,"Buehler, Walker",0.6629304364897585,1.238679733001767,0.860841895163929,1.0407682743275963,3.6642442684815677,142.2497764107934,0.08095696180441947,0.0892411055122917,1.889332660582661,0.206519612144612,0.58435744998245,1.511494822744823,12.34973236223236,252.20974464724486,0.15833209020709027,0.16713144963144888,0.5810409015287066,0.4059509683899928,0.7837888062278306,0.2032030636908686,7.949445961641075,259.2200458298021,0.08202498665913294,0.1370204350692159,0.3396181373010642,1.890837649496186,1.512999811658348,0.038219700536773704,1.0307467746492023,859.3449948206046,0.2824314907241736,0.14531311799604563,0.2602739827739827,1.8328029403029404,1.4549651024651025,0.6381118206118206,3.458746658746662,235.31779031779024,0.3147579447579447,0.18022869022868981
8,"Bumgarner, Madison",0.6152245258503847,0.026745520232564712,0.8885384554266644,1.5305085015096138,3.757213430422212,85.74607476198253,0.09794297585552592,0.02461869397369565,0.8757378744465741,1.4423194068630771,0.527035431203848,0.039546101212655005,8.841428525884979,9.641744038774505,0.0030645341260946424,0.062173513670761515,0.6779736308316429,1.1599736308316428,0.24468965517241378,0.2373103448275863,4.133569979716029,89.62741116751249,0.09357200811359023,0.04395740365111589,0.006071350701349787,0.4108993333377381,1.3261833089969672,0.9092126249578794,1.9391074389994145,814.1550984639293,0.0722886204914408,0.017234276615285538,0.33602636916835704,0.391776369168357,1.3070603448275862,1.2513103448275862,3.3614300202839758,227.92741116751267,0.10482200811359021,4.259634888459374e-05
9,"Burnes, Corbin",0.3596513819095477,1.3778486180904523,0.784375697934115,0.953124302065885,1.0228433835846005,46.196717877095125,0.07327051926298156,0.07139586823003796,1.495110172712301,0.14211857607364564,0.4513543440826917,0.9016372525559637,13.417933927339774,135.32061405567765,0.2898125360697043,0.18946309512079473,0.9596400060503185,0.33505806625098744,0.2584148539053499,0.3661670858939812,6.9158271849772746,176.85449449748694,0.036623362072346066,0.043453630097720186,0.3525966339634683,2.154469649836484,1.5609967296801468,0.24087628619286905,4.810688362447166,581.4687416866186,0.03741995692749467,0.15866762383345367,0.07055161126734566,1.92210893919137,1.3286360190350326,0.664024531423683,1.1582791634011187,132.56197017067325,0.11567877614371558,0.037680271899763085
