,player_name,mlbAM_ID,Stuff,Season,CU_pfx_z_diff,CU_pfx_x_FF_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_FF_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_FF_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_FF_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_FF_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_FF_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_FF_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_FF_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_FF_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_FF_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Civale, Aaron",650644.0,67.0,2020,2.657242039,-0.33997266700000006,1.3307680739999999,-0.9865012980000001,15.578078449999992,496.52917800000023,0.08599425900000002,0.04747847500000013,1.497028077,-0.722270012,0.9484707290000001,0.17371266399999996,9.018130229999997,363.80256800000006,0.09926523300000001,0.04583333300000003,0.615728186,-2.621321407,0.950580666,1.055012555,5.955869429999993,307.8129319999998,0.31182674200000005,0.21307909599999952,0.36135603400000005,-2.467942055,0.797201314,1.309384707,0.4950418200000115,71.35872199999994,0.18117383600000003,0.13962365599999949,0.608314664,-0.923328288,0.7474124529999999,1.062426077,3.8486325599999986,158.18063100000018,0.011032395000000084,0.027593098000000538
1,"Nola, Aaron",605400.0,114.0,2020,1.999645425,0.10875326800000007,2.410824697,0.30242600399999997,14.241115780000001,318.3519919999999,0.0005333800000000277,0.12373739500000003,,,,,,,,,0.950616242,-2.358100318,0.056028889000000026,1.351455187,7.927948130000004,662.7931310000001,0.15006483199999998,0.11150614199999964,0.46174193499999994,-2.599362903,0.2972914739999999,1.8403294940000001,1.067834099999999,79.48521500000015,0.002667050999999976,0.012474655000000112,,,,,,,,
2,"Nola, Aaron",605400.0,103.0,2021,2.038176249,0.03219828299999983,2.32215344,0.251778908,14.432986790000001,331.12346800000023,0.009371010999999818,0.11067128000000004,,,,,,,,,0.999732495,-2.4366594900000003,0.14670433299999996,1.290222662,7.745853350000004,687.1860959999999,0.15259616100000017,0.1428636059999997,0.4470933170000001,-2.642188555,0.3522333980000001,1.8428618399999999,0.8488928100000095,60.98843599999964,0.00012257099999990473,0.034798847000000244,0.5583521160000001,-1.101612985,1.188342172,1.731603041,6.183437319999996,19.101169000000027,0.136732501,0.08475394800000036
3,"Nola, Aaron",605400.0,95.0,2023,2.18154123,-0.2167817620000001,2.0616323349999996,0.09687286699999997,13.350498920000007,286.55158299999994,0.001510501000000053,0.05711742300000022,,,,,,,,,0.874693606,-2.491591042,0.21317694500000006,1.403720491,6.7929730000000035,746.0365360000001,0.12604026899999976,0.18107760099999926,0.505316128,-2.713030905,0.43461680800000013,1.773097969,0.9415482100000077,82.64830900000015,0.015200016000000094,0.06683757999999962,0.725649013,-1.193518579,1.084895518,1.552765084,6.395035430000007,37.78603599999997,0.0015976829999999609,0.007213369000000469
4,"Wainwright, Adam",425794.0,61.0,2020,2.395834204,0.18099163900000015,1.589828848,-0.986996995,15.666605700000005,572.5295270000001,0.033165011999999994,0.10358374700000006,,,,,,,,,0.644494438,-2.3523205249999997,0.9434833159999999,0.764342771,7.311476240000005,534.8124369999998,0.2505257839999999,0.02882709799999983,0.27427187099999994,-2.231335363,0.8224981539999999,1.134565338,0.11609450000000265,30.59625399999959,0.04988741199999991,0.06443613899999967,0.712787968,-0.7202527569999999,0.6885844520000001,0.696049241,4.146626269999999,125.04263500000025,0.052709903,0.021036140000000536
5,"Wainwright, Adam",425794.0,81.0,2021,2.445529071,0.164383889,1.54206555,-1.06784741,15.548205980000006,611.5373549999999,0.00743030999999994,0.09521182900000014,,,,,,,,,0.5738205279999999,-2.371065426,0.993383765,0.803861133,6.283405119999998,512.8757580000001,0.16582232899999982,0.05171086100000011,0.1943523949999999,-2.279178382,0.9014967210000001,1.183329266,0.03157901000000152,1.732068999999683,0.03932509899999981,0.05863341900000041,0.6769348929999999,-0.6880624889999999,0.689619172,0.700746768,4.083865369999998,180.6037299999998,0.016982020999999792,0.03135687400000009
6,"Mills, Alec",621219.0,72.0,2020,2.032263498,-0.08881279400000008,1.86627054,-0.07718016399999994,23.16095657000001,196.278773,0.029012323999999978,0.0036132630000000887,1.3599758780000002,0.21865570099999987,2.173739035,0.595107456,12.296820170000004,402.16053699999975,0.012874999999999748,0.12561622799999927,0.853138889,-2.427236111,0.4721527769999999,1.101944445,9.06750000000001,472.0781320000003,0.03515277800000005,0.18890277700000002,0.556557099,-2.511217593,0.5561342589999999,1.398526235,0.10464506999998946,3.340964999999869,0.007699074000000028,0.06093981399999926,,,,,,,,
7,"Heaney, Andrew",571760.0,101.0,2020,1.599635723,-1.784431263,1.630810848,-1.446015308,12.30012214,114.81165400000009,0.012939471000000147,0.15425955899999977,,,,,,,,,0.6369276730000001,0.04704058099999986,0.20066099599999987,-0.4833072580000001,8.547796259999998,429.9667529999999,0.05788233200000015,0.1334171289999997,,,,,,,,,,,,,,,,
8,"DeSclafani, Anthony",543101.0,100.0,2021,1.871181081,-0.830267619,1.327232381,0.28631891900000006,11.115390169999998,300.19382299999984,0.06106047200000009,0.10208509299999946,0.973463602,-1.011809714,1.145690286,1.184036398,6.131997510000005,66.92769799999996,0.07396425499999992,0.04321898199999996,0.9455094340000001,-2.665992705,0.508492705,1.211990566,5.851124370000008,682.0706049999999,0.16746739200000005,0.22079130599999974,0.42367865700000007,-2.653783699,0.496283699,1.733821343,0.0743187400000096,173.03123800000003,0.05632802199999998,0.02010989999999957,,,,,,,,
9,"Senzatela, Antonio",622608.0,77.0,2020,1.467807734,-0.2551225490000001,1.145495098,-0.06719008700000006,15.221906320000002,176.88633100000015,0.50378159,0.37395860500000033,0.746922549,-0.463922549,0.936695098,0.653695098,8.07931373000001,37.98151599999983,0.02274803900000011,0.04622156799999999,0.15798713200000003,-1.601737132,0.201119485,1.242630515,7.961865810000006,11.339942000000065,0.02017095599999985,0.008052389999999576,,,,,,,,,,,,,,,,
