,player_name,FF_pfx_z_diff,FF_pfx_x_SL_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SL_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SL_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SL_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SL_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SL_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_SL_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_SL_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SL_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SL_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Abreu, Bryan",1.649859209093724,0.29943438914027154,1.1963122171945701,0.7529813810394255,8.808116328548735,452.98563114589615,0.36363943743569704,0.04200308651224205,0.4132957752788854,1.175120066305273,0.27824223825097427,1.3101736033331841,3.9116594238609252,180.8129612961293,0.18783544644057093,0.30871936741185557,1.247232277526395,0.7927677224736049,1.6896455505279036,0.3503544494720965,1.3493966817496243,957.3454545454547,0.37503016591251814,0.14370286576168922,1.2205656108597285,1.0469343891402716,1.9438122171945702,0.32368778280542987,7.591063348416284,284.8454545454547,0.1766968325791849,0.09546380090497664,,,,,,,,
1,"Acevedo, Domingo",0.5286260130682296,1.7218479205810595,0.5361674472082785,1.7143064864410107,6.5333968983987205,4.6135197285398135,0.3059381923217137,0.12091898258504141,,,,,,,,,0.30494778976679426,2.090106160807518,0.9044256874347372,0.8807326836059868,0.30623042116255306,258.4879916463624,0.21300730943264856,0.013155238426731941,0.43797830374753444,2.137577251808021,0.9518967784352401,1.6236587771203155,5.735239973701539,32.810650887573956,0.22038790269559505,0.12382314266929573,,,,,,,,
2,"Adon, Joan",1.0326489226869455,1.1078073510773132,1.084057351077313,1.0563989226869455,8.762959442332075,124.87741312741309,0.06585709759188862,0.12546736375158485,1.0727598566308243,0.43007168458781364,0.4538216845878136,1.0490098566308244,6.488082437276006,201.80090909090904,0.06995071684587817,0.14484318996415801,0.3974390243902439,1.5604878048780488,1.536737804878049,0.42118902439024386,1.1969512195121865,175.0,0.12435975609756111,0.010823170731707243,0.9141304347826089,1.4902173913043475,1.4664673913043476,0.9378804347826089,8.659782608695636,83.07608695652107,0.10733695652173925,0.10983695652174053,,,,,,,,
3,"Akin, Keegan",1.3747944815815674,0.7796837220878966,1.321706193998009,1.9168169534916797,8.200268453989466,92.64226283601192,0.13827247191011205,0.16668734888351633,1.148376404494382,0.984376404494382,0.4423539325842697,0.6063539325842697,10.228370786516862,222.75112359550576,0.034022471910112095,0.07795505617977572,0.6238963227783453,1.2209417773237996,1.762964249233912,1.1659187946884577,1.1892798774259603,198.37614913176662,0.08311338100102139,0.08159141981613871,,,,,,,,,,,,,,,,
4,"Alcantara, Sandy",0.8717121848739497,1.2810206582633052,1.02969012605042,1.123042717086835,7.975105042016807,155.64076231719673,0.019518557422969707,0.010691526610643542,0.4970066208301501,0.07791571173924108,0.173414820473644,0.245676088617265,3.82277820218998,4.3631270690093515,0.014101094983447915,0.06523809523809465,0.031685100855984916,1.6774880835015569,1.4261575512886717,0.28301563306887,1.7912390654585835,298.3807981619616,0.025757773500461045,0.01212503325352543,0.34283084133776814,1.7516574447288162,1.500326912515931,0.5941613735506532,7.7970626228296425,61.75190372445286,0.06834594010230477,0.022007515706652825,,,,,,,,
5,"Alexander, Jason",0.7904388074932575,1.3126984474087033,2.0887951016837967,0.014342153218164344,11.917909468620152,320.56877323420076,0.3997594576864203,0.2987455353888766,,,,,,,,,0.09371073164753463,1.572992565055762,2.349089219330855,0.6823859226275585,0.2743412721107745,705.8615909137588,0.1988318558764659,0.08960741860370103,0.061001683596795586,1.522688613687981,2.298785267963074,0.8370983378718887,11.210265985695074,449.10524739833454,0.02890136834611967,0.029825595191015353,,,,,,,,
6,"Alexander, Tyler",1.4558100331041508,0.601188184364655,1.7380366692131397,2.5926585179526356,12.309304812834228,62.637382225616875,0.06711229946524044,0.055064935064934595,,,,,,,,,0.6592969696969697,1.1095878787878788,2.246436363636364,1.7961454545454545,5.054545454545448,806.8303030303027,0.06839999999999957,0.08893333333333242,1.0329555626940787,1.184934361280651,2.321782846129136,2.1698040475425637,12.351063283006752,210.70296605632257,0.0586379698040469,0.11053860156333606,0.7353992912417734,0.3498513054169378,0.786997179431547,1.872247776090258,7.737509221089169,11.290590872930352,0.11248643957474513,0.12770955377160575
7,"Archer, Chris",1.213361633577151,0.8673750435388367,0.9661502960640891,1.1145863810518986,4.292872692441648,290.2086323807407,0.1427494775339604,0.08567572274468827,0.8248938856651622,0.07776568880292284,0.02100956372232965,0.9236691381904147,7.008217816462491,5.4862952900984965,0.10642085751128327,0.10323877068557774,0.4335326170449745,1.4196612993048352,1.5184365518300877,0.334757364519722,1.7471305257902259,759.9304341138184,0.25452485885470666,0.12721588508660808,,,,,,,,,,,,,,,,
8,"Armstrong, Shawn",1.5027987330837893,0.26432047221422406,1.2783784432287166,0.4887407620692966,9.211042326518864,215.424656876859,0.1304155869085324,0.12934734619445276,,,,,,,,,,,,,,,,,1.1230598851517637,1.1199859369506622,2.1340439079651548,0.10900191413727112,9.45481073479435,366.73920856283394,0.15653775538106962,0.1880401578186648,0.856372463768116,0.5641724637681159,0.44988550724637677,0.15768550724637664,6.15059420289856,56.987681159419935,0.06795797101449286,0.0755550724637688
9,"Ashby, Aaron",1.366030699124595,0.9892565055762081,1.526449814126394,1.903224007674781,11.962165727305447,428.8072024989483,0.1883894951433026,0.17057800695527092,1.0453179625088982,0.3991477497429409,0.138045558807245,0.5081246539587122,3.81281025073163,51.93425254566364,0.04718840465079488,0.037126394052044986,0.5249283402015311,1.4886234306408075,2.0258167391909936,1.062121648751717,5.635767461072206,759.763399881628,0.04264367981710415,0.0012194173078583503,1.070120802829843,1.5351450354631224,2.0723383440133083,1.6073141113800289,12.166313937217367,454.1489396322613,0.1485757997970104,0.12271282377740889,,,,,,,,
