,player_name,mlbAM_ID,Stuff,Season,FF_pfx_z_diff,FF_pfx_x_CH_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CH_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_CH_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_CH_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CH_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CH_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CH_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CH_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CH_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CH_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Civale, Aaron",650644.0,91.0,2020,0.615728186,-1.055012555,0.950580666,2.621321407,5.955869429999993,307.8129319999998,0.31182674200000005,0.21307909599999952,2.041513853,0.27575551899999995,2.28134874,-0.03592063200000006,9.62220902,804.34211,0.39782100100000006,0.26055757099999965,0.8812998910000001,-0.10654182599999995,1.8990513949999999,1.12429333,3.0622608000000042,671.6154999999999,0.21256150900000004,0.1672457629999995,0.25437215199999996,-1.8522138689999998,0.15337935199999997,2.259965373,6.450911250000004,236.45420999999988,0.130652906,0.07345544000000004,0.007413522000000006,-0.307600102,1.697993119,2.013006743,2.107236869999994,465.993563,0.30079434699999996,0.24067219400000006
1,"Nola, Aaron",605400.0,110.0,2020,0.950616242,-1.351455187,0.056028889000000026,2.358100318,7.927948130000004,662.7931310000001,0.15006483199999998,0.11150614199999964,1.049029183,1.05936951,2.466853586,0.358454893,6.313167649999997,981.145123,0.14953145199999995,0.23524353699999967,,,,,,,,,0.488874307,-1.648746661,0.24126258499999986,1.896358383,6.860114030000005,583.307916,0.147397781,0.09903148699999953,,,,,,,,
2,"Nola, Aaron",605400.0,87.0,2021,0.999732495,-1.290222662,0.14670433299999996,2.4366594900000003,7.745853350000004,687.1860959999999,0.15259616100000017,0.1428636059999997,1.038443754,1.031930778,2.468857773,0.398483241,6.687133439999997,1018.3095640000001,0.161967172,0.25353488599999974,,,,,,,,,0.552639178,-1.64245606,0.20552906500000012,1.989566173,6.896960539999995,626.1976600000003,0.15271873200000008,0.10806475899999946,0.44138037899999993,-0.10188048999999999,1.335046505,1.8783073739999998,1.5624160300000085,668.0849269999999,0.015863660000000168,0.22761755400000006
3,"Nola, Aaron",605400.0,70.0,2023,0.874693606,-1.403720491,0.21317694500000006,2.491591042,6.7929730000000035,746.0365360000001,0.12604026899999976,0.18107760099999926,1.306847624,0.6579118439999999,2.27480928,0.31004981200000004,6.557525920000003,1032.588119,0.1275507699999998,0.23819502399999948,,,,,,,,,0.369377478,-1.838337299,0.22143986300000007,1.986274914,5.851424789999996,663.3882269999999,0.14124028499999985,0.11424002099999964,0.14904459300000006,-0.318824973,1.298072463,1.765942029,0.3979375699999963,708.2505000000001,0.1244425859999998,0.18829096999999972
4,"Wainwright, Adam",425794.0,92.0,2020,0.644494438,-0.764342771,0.9434833159999999,2.3523205249999997,7.311476240000005,534.8124369999998,0.2505257839999999,0.02882709799999983,1.751339766,0.8254860770000001,2.533312164,-0.04351367900000014,8.35512946,1107.341964,0.21736077199999992,0.1324108449999999,,,,,,,,,0.370222567,-1.586840925,0.12098516199999998,2.078048654,7.427570740000007,504.2161830000002,0.200638372,0.03560904099999984,0.06829353000000005,-0.07575831899999996,1.632067768,1.639532557,3.164849970000006,659.8550720000001,0.19781588099999992,0.049863238000000365
5,"Wainwright, Adam",425794.0,84.0,2021,0.5738205279999999,-0.803861133,0.993383765,2.371065426,6.283405119999998,512.8757580000001,0.16582232899999982,0.05171086100000011,1.871708543,0.738204417,2.535449315,-0.07446364500000002,9.264800860000008,1124.413113,0.15839201899999988,0.14692269000000024,,,,,,,,,0.37946813300000004,-1.705357854,0.09188704399999992,2.1767130310000002,6.314984129999999,514.6078269999998,0.12649723000000002,0.006922558000000301,0.10311436499999993,-0.11424196099999995,1.683002937,1.694130533,2.1995397499999996,693.479488,0.14884030800000003,0.0830677350000002
6,"Mills, Alec",621219.0,94.0,2020,0.853138889,-1.101944445,0.4721527769999999,2.427236111,9.06750000000001,472.0781320000003,0.03515277800000005,0.18890277700000002,1.179124609,0.7643260949999999,2.338423317,0.394972613,14.09345657,668.3569050000003,0.006140454000000073,0.18528951399999993,0.506836989,1.0717945899999999,2.645891812,1.0672602329999998,3.229320169999994,874.2386690000001,0.0480277779999998,0.06328654900000075,0.29658179,-1.658078704,0.083981482,1.870679012,9.17214507,475.4190970000002,0.027453704000000023,0.12796296300000076,,,,,,,,
7,"Heaney, Andrew",571760.0,93.0,2020,0.6369276730000001,0.4833072580000001,0.20066099599999987,-0.04704058099999986,8.547796259999998,429.9667529999999,0.05788233200000015,0.1334171289999997,0.96270805,-1.14750359,1.831471844,-1.6466763039999999,3.752325880000001,544.778407,0.044942861,0.02084243000000008,,,,,,,,,,,,,,,,,,,,,,,,
8,"DeSclafani, Anthony",543101.0,80.0,2021,0.9455094340000001,-1.211990566,0.508492705,2.665992705,5.851124370000008,682.0706049999999,0.16746739200000005,0.22079130599999974,0.9256716469999999,0.11524181500000003,1.835725086,0.794811624,5.26426579999999,381.87678200000005,0.10640691999999996,0.11870621300000028,0.027954168,-0.06630028000000004,1.6541829909999999,1.692529103,0.2808731399999971,615.1429069999999,0.09350313700000012,0.17757232399999978,0.5218307769999999,-1.708274265,0.012209005999999967,2.242314048,5.776805629999998,509.03936699999986,0.22379541400000003,0.20068140600000017,,,,,,,,
9,"Senzatela, Antonio",622608.0,63.0,2020,0.15798713200000003,-1.242630515,0.201119485,1.601737132,7.961865810000006,11.339942000000065,0.02017095599999985,0.008052389999999576,1.309820602,-0.09713541700000006,1.346614583,0.13392939799999992,7.260040509999996,188.22627300000022,0.5239525459999999,0.3820109949999999,0.5889354170000001,-0.305935417,1.137814583,0.854814583,0.11744792000000359,49.32145799999989,0.0025770830000002576,0.05427395799999957,,,,,,,,,,,,,,,,
