,player_name,FF_pfx_z_diff,FF_pfx_x_SI_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SI_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SI_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SI_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_SI_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_SI_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SI_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SI_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SI_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SI_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Abreu, Bryan",0.4292935982339956,1.52,0.7475,2.6967935982339957,1.2170529801324506,168.14017660044146,0.18694260485651215,0.13746688741721869,1.633861386138614,0.0454455445544556,2.2220544554455444,0.6336386138613862,11.50272277227721,465.658415841584,0.011138613861386037,0.4041831683168322,1.2205656108597285,0.32368778280542987,1.9438122171945702,1.0469343891402716,7.591063348416284,284.8454545454547,0.1766968325791849,0.09546380090497664,0.026666666666666616,2.0133333333333336,0.25416666666666665,2.2941666666666665,6.24166666666666,672.5,0.19833333333333325,0.23916666666666586,,,,,,,,
1,"Acevedo, Domingo",0.09064770932069521,2.1598262243285937,0.41572933122696165,2.666203264876251,0.7981569246971816,37.42417061611377,0.08555028962611866,0.0029041600842543147,,,,,,,,,0.43797830374753444,1.6236587771203155,0.9518967784352401,2.137577251808021,5.735239973701539,32.810650887573956,0.22038790269559505,0.12382314266929573,0.7429260935143287,2.528084464555053,0.04747109100050295,1.832629462041227,5.429009552538986,291.29864253393634,0.007380593262946489,0.13697838109602767,,,,,,,,
2,"Adon, Joan",0.11851848790433661,2.021937785859922,0.3824100402270344,2.522866313991293,0.10317683363643937,41.801326170892025,0.04147985892985062,0.015630407229844323,1.9868902914134332,0.4840587501947953,1.9202890758921611,0.4174575346735232,15.147865045971642,118.72482213438798,0.17728767336761742,0.03500623344241749,0.9141304347826089,0.9378804347826089,1.4664673913043476,1.4902173913043475,8.659782608695636,83.07608695652107,0.10733695652173925,0.10983695652174053,0.516691410392365,2.474618239660658,0.07027041357370134,1.8876564156945914,7.4628313891834495,258.07608695652107,0.23169671261930036,0.09901378579003328,,,,,,,,
3,"Alcantara, Sandy",0.5288813435361817,1.6238514996010733,0.470636786465511,2.6233696296027658,0.17804241918716457,93.88885859274387,0.04882738267933506,0.011315989096009282,0.8398374621679182,0.42074655307700926,1.6737417329895752,1.254650823898666,11.619840825019622,57.38877665544351,0.08244703508575268,0.043230579531441826,0.34283084133776814,0.5941613735506532,1.500326912515931,1.7516574447288162,7.7970626228296425,61.75190372445286,0.06834594010230477,0.022007515706652825,0.31114574048178323,2.0203189248393247,0.07416936122725937,1.783342545584801,6.005823557371059,236.62889443750873,0.09410371360276581,0.034132548960178255,,,,,,,,
4,"Alexander, Jason",0.851440491090053,1.2516967638119079,0.20999016627927758,2.3131274211812385,0.7076434829250786,128.53647416413378,0.42866082603253997,0.32857113057989196,,,,,,,,,0.061001683596795586,0.8370983378718887,2.298785267963074,1.522688613687981,11.210265985695074,449.10524739833454,0.02890136834611967,0.029825595191015353,0.15471241524433021,1.5119908814589662,0.050303951367780986,1.6163993453355157,10.9359247135843,256.7563435154243,0.22773322422258557,0.11943301379471638,,,,,,,,
5,"Alexander, Tyler",0.42285447041007207,0.4317673783294237,0.5837461769159961,0.2708756718234997,0.04175847017252465,148.0655838307057,0.008474329661193547,0.055473666498401464,,,,,,,,,1.0329555626940787,2.1698040475425637,2.321782846129136,1.184934361280651,12.351063283006752,210.70296605632257,0.0586379698040469,0.11053860156333606,0.373658592997109,0.07663231609380006,0.07534648249277232,0.5256373915836814,7.296517828461305,596.1273369739802,0.009762030195952676,0.021605268230003638,0.29755627145230534,1.3828068681110164,1.534785666697589,0.4495350700388777,4.613554061917583,221.99355692925292,0.05384846977069824,0.017170952208269696
6,"Anderson, Tyler",0.9423564806287225,0.0624790546838806,0.8074663005073761,0.07241112543746575,1.7269456398577745,3.606897860535355,1.280208922900026,1.1748167808123604,1.2520782103825137,0.7245782103825136,1.5945235655737702,2.1220235655737705,15.792503415300544,85.99760928961769,1.3030396174863386,1.3061816939890711,,,,,,,,,0.18964303194877474,0.5496921117033761,0.32025324348788065,0.680302323242482,9.964462771128765,379.1361829092498,1.1437804150323505,1.2348304669952066,0.2514849509931478,0.7723598461849827,1.6423052013762394,0.6184604041981089,3.3395437592158856,193.81290658339822,0.7785488767455977,0.8900419232659669
7,"Armstrong, Shawn",0.3797388479320255,1.3873803573659877,0.8556654647364381,2.6227846700344513,0.24376840827548563,151.31455168597495,0.026122168472537233,0.05869281162421203,,,,,,,,,1.1230598851517637,0.10900191413727112,2.1340439079651548,1.1199859369506622,9.45481073479435,366.73920856283394,0.15653775538106962,0.1880401578186648,,,,,,,,,0.26668742138364776,0.5588874213836479,1.6841584007187782,1.9763584007187782,3.30421653189579,309.751527403414,0.08857978436657676,0.11248508535489599
8,"Ashby, Aaron",0.29590989629475206,0.08086429725363486,0.5458885298869144,0.16911433633852746,0.20414820991192073,25.341737133313018,0.0398136953462922,0.047865183177862036,2.115438765338741,1.469268552572784,1.9342927852060634,2.5804629979720204,15.979124187948997,506.08319217792496,0.1957642044478053,0.0855864297253639,1.070120802829843,1.6073141113800289,2.0723383440133083,1.5351450354631224,12.166313937217367,454.1489396322613,0.1485757997970104,0.12271282377740889,0.5451924626283118,0.4185026278109646,0.04652160482231493,1.0102166952615914,6.530546476145162,305.61446024936663,0.19121947961411456,0.12149340646955054,,,,,,,,
9,"Ashcraft, Graham",,,,,,,,,,,,,,,,,0.7821456223942823,0.3955717689100654,1.746886837403216,0.5691694460988684,11.45984216795712,525.076629802697,0.16270756402620612,0.13614264443120927,0.05069634703196352,1.6631963470319635,0.31188127853881276,1.3006187214611873,7.373972602739727,405.09592145015085,0.07803881278538793,0.05783561643835622,0.25911756882564163,0.4934795185529992,0.8578355499401515,1.6104326373187923,0.07311477590107529,191.83407854984898,0.3344450059848383,0.3025527330762072
