,player_name,mlbAM_ID,Stuff,Season,FF_pfx_z_diff,FF_pfx_x_SL_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SL_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SL_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SL_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SL_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SL_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_SL_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_SL_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SL_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SL_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Civale, Aaron",650644.0,100.0,2020,1.497028077,-0.17371266399999996,0.9484707290000001,0.722270012,9.018130229999997,363.80256800000006,0.09926523300000001,0.04583333300000003,1.160213962,1.15705541,0.3822973449999999,-1.9349720270000001,6.5599482199999954,132.72661000000016,0.18525949200000003,0.09331180800000016,0.8812998910000001,-1.12429333,1.8990513949999999,0.10654182599999995,3.0622608000000042,671.6154999999999,0.21256150900000004,0.1672457629999995,1.135672043,-0.970913978,1.745672043,0.3609139779999999,9.513172050000009,435.16129,0.08190860300000002,0.09379032299999945,0.8887134130000001,0.573699789,0.20105827600000004,0.11395534799999996,5.169497669999998,205.6219369999999,0.08823283799999992,0.07342643100000057
1,"Mills, Alec",621219.0,91.0,2020,1.3599758780000002,-0.595107456,2.173739035,-0.21865570099999987,12.296820170000004,402.16053699999975,0.012874999999999748,0.12561622799999927,0.67228762,1.2711630839999999,0.30746849499999995,-2.250919199,10.864136400000007,205.88176399999975,0.041887323999999726,0.12200296499999919,0.506836989,-1.0672602329999998,2.645891812,-1.0717945899999999,3.229320169999994,874.2386690000001,0.0480277779999998,0.06328654900000075,0.803418779,-1.1512417149999998,2.729873294,-0.7752127999999999,12.401465239999993,398.8195719999999,0.020574073999999776,0.06467641400000002,,,,,,,,
2,"DeSclafani, Anthony",543101.0,104.0,2021,0.973463602,-1.184036398,1.145690286,1.011809714,6.131997510000005,66.92769799999996,0.07396425499999992,0.04321898199999996,0.897717479,0.14319598300000003,0.18154209500000007,-0.8593713669999999,4.983392659999993,233.26612499999987,0.012903782999999835,0.0588661109999995,0.027954168,-1.692529103,1.6541829909999999,0.06630028000000004,0.2808731399999971,615.1429069999999,0.09350313700000012,0.17757232399999978,0.549784945,-1.680320097,1.641973985,0.588131057,6.057678769999995,106.10354000000007,0.1302922769999999,0.02310908200000039,,,,,,,,
3,"Senzatela, Antonio",622608.0,103.0,2020,0.746922549,-0.653695098,0.936695098,0.463922549,8.07931373000001,37.98151599999983,0.02274803900000011,0.04622156799999999,0.720885185,0.49179999999999996,0.20879999999999993,-1.0038851850000001,7.1425925899999925,138.90481500000033,0.5265296290000001,0.32773703700000034,0.5889354170000001,-0.854814583,1.137814583,0.305935417,0.11744792000000359,49.32145799999989,0.0025770830000002576,0.05427395799999957,,,,,,,,,,,,,,,,
4,"Snell, Blake",605483.0,107.0,2023,0.974381239,-0.20928521099999997,0.630209982,1.813876432,7.146349150000006,85.1977780000002,0.0071515429999999824,0.007660126000000211,1.457486735,-1.639432509,0.799937316,-0.6179915420000001,7.3838808199999875,53.64860799999997,0.04138364900000013,0.0012872270000006125,0.32393111100000005,0.47545508400000003,1.3149502770000001,1.1634263040000001,1.630005269999998,549.4033849999998,0.23318032199999994,0.18208410100000005,,,,,,,,,,,,,,,,
5,"Singer, Brady",663903.0,104.0,2020,1.1694050589999998,-0.552023513,1.097434984,0.6239935879999999,9.784218029999991,190.97392900000023,0.09752048499999999,0.023897398999999986,,,,,,,,,1.009890773,-1.156109227,1.701520698,0.464479302,4.696503739999997,223.10249999999996,0.018063341999999816,0.02426882799999941,1.150199745,-0.996798623,1.542210094,0.604788274,10.22183163999999,146.64393599999994,0.1577465389999999,0.0013484640000003267,,,,,,,,
6,"Woodruff, Brandon",605540.0,127.0,2020,1.368744019,-0.61173445,0.788098086,1.192380383,8.406339709999997,68.15085700000009,0.0500877190000002,0.07834529500000009,0.9085839170000001,0.268595571,0.09223193500000001,-1.0849475530000001,4.6409673699999985,80.9031,0.09745920699999999,0.16443473200000014,0.71418096,-1.344168097,1.520531733,0.537817324,1.4346054899999956,707.500988,0.0002301310000001333,0.023965122999999977,1.054342685,-1.214767827,1.391131463,0.877979049,8.099895849999996,161.32212500000014,0.02907784000000002,0.07078555100000017,,,,,,,,
7,"Woodruff, Brandon",605540.0,123.0,2021,1.613786406,-0.302031968,0.844106657,1.071711717,10.051537720000013,196.40832,0.11512007700000004,0.07980418599999961,0.7920703809999999,0.604476229,0.06240153999999998,-1.33414507,2.700403509999987,91.19908299999997,0.13981644199999987,0.14981002499999985,0.797122995,-0.996185276,1.538259965,0.25504830599999995,0.012307739999997125,646.7189859999999,0.023821794999999923,0.010974323999999314,1.291369129,-0.9364870630000001,1.478561752,0.7492944399999999,9.776848570000013,265.004958,0.0884801449999999,0.09137559299999953,,,,,,,,
8,"Elder, Bryce",693821.0,92.0,2023,1.391018216,-0.186018821,0.31885894000000004,1.258178097,7.981804350000004,290.09871499999963,0.05944877900000001,0.0005983780000002881,,,,,,,,,0.421023657,-0.789824672,0.922664791,0.28818353799999996,2.2485057000000097,344.3731539999999,0.11904807699999997,0.03181406199999959,0.836740426,-0.960552597,1.0933927159999999,0.703900307,6.732648950000012,444.0799749999999,0.12514150700000015,0.03039207399999988,,,,,,,,
9,"Carrasco, Carlos",471911.0,112.0,2020,1.2301672579999998,-0.76208405,1.051110896,0.9411404119999999,7.695173759999989,307.95824700000003,0.06421518700000006,0.09039512900000002,0.601044929,0.756177293,0.46715044699999997,-0.890071775,2.550717750000004,150.0246299999999,0.1077404930000001,0.0645945189999999,0.11737098700000001,-0.609791175,0.8988180210000001,-0.17165585900000002,1.6729684399999911,1463.0730830000002,0.04877652900000018,0.04448190599999968,0.623622262,-1.329019248,1.6180460939999999,0.334595416,6.338406989999996,423.07749600000034,0.009492211999999833,0.0026617710000005346,,,,,,,,
