,player_name,mlbAM_ID,Stuff,Season,FF_pfx_z_diff,FF_pfx_x_SI_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SI_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SI_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SI_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_SI_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_SI_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SI_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SI_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SI_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SI_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Civale, Aaron",650644.0,83.0,2020,0.36135603400000005,-1.309384707,0.797201314,2.467942055,0.4950418200000115,71.35872199999994,0.18117383600000003,0.13962365599999949,2.295886005,0.021383366999999986,2.127969388,-0.18929998400000003,16.073120270000004,567.8879000000002,0.26716809500000005,0.18710213099999962,1.135672043,-0.3609139779999999,1.745672043,0.970913978,9.513172050000009,435.16129,0.08190860300000002,0.09379032299999945,0.25437215199999996,-2.259965373,0.15337935199999997,1.8522138689999998,6.450911250000004,236.45420999999988,0.130652906,0.07345544000000004,0.24695862999999996,-0.561972254,1.544613767,1.859627391,4.34367438000001,229.53935300000012,0.17014144099999995,0.16721675400000002
1,"Nola, Aaron",605400.0,101.0,2020,0.46174193499999994,-1.8403294940000001,0.2972914739999999,2.599362903,1.067834099999999,79.48521500000015,0.002667050999999976,0.012474655000000112,1.5379034900000002,0.570495203,2.708116171,0.5997174779999999,13.173281680000002,397.83720700000003,0.002133670999999948,0.13621205000000014,,,,,,,,,0.488874307,-1.896358383,0.24126258499999986,1.648746661,6.860114030000005,583.307916,0.147397781,0.09903148699999953,,,,,,,,
2,"Nola, Aaron",605400.0,106.0,2021,0.4470933170000001,-1.8428618399999999,0.3522333980000001,2.642188555,0.8488928100000095,60.98843599999964,0.00012257099999990473,0.034798847000000244,1.591082932,0.47929159999999993,2.674386838,0.6040123060000001,13.584093979999992,392.11190399999987,0.009248439999999913,0.14547012700000028,,,,,,,,,0.552639178,-1.989566173,0.20552906500000012,1.64245606,6.896960539999995,626.1976600000003,0.15271873200000008,0.10806475899999946,0.11125879900000002,-0.6545196679999999,1.5405755700000001,2.083836439,5.334544509999986,41.88726699999961,0.1368550719999999,0.1195527950000006
3,"Nola, Aaron",605400.0,100.0,2023,0.505316128,-1.773097969,0.43461680800000013,2.713030905,0.9415482100000077,82.64830900000015,0.015200016000000094,0.06683757999999962,1.676225102,0.28853436599999993,2.496249143,0.5314896750000001,12.40895071,369.1998920000001,0.013689515000000041,0.12395500299999984,,,,,,,,,0.369377478,-1.986274914,0.22143986300000007,1.838337299,5.851424789999996,663.3882269999999,0.14124028499999985,0.11424002099999964,0.22033288499999992,-0.688202451,1.519512326,1.9873818920000001,5.4534872199999995,44.86227300000019,0.016797699000000055,0.07405094900000009
4,"Wainwright, Adam",425794.0,80.0,2020,0.27427187099999994,-1.134565338,0.8224981539999999,2.231335363,0.11609450000000265,30.59625399999959,0.04988741199999991,0.06443613899999967,2.121562333,0.4552635100000001,2.412327002,-0.16449884100000012,15.782700200000008,603.1257809999997,0.016722399999999915,0.16801988599999973,,,,,,,,,0.370222567,-2.078048654,0.12098516199999998,1.586840925,7.427570740000007,504.2161830000002,0.200638372,0.03560904099999984,0.43851609700000005,-0.44598088599999997,1.511082606,1.518547395,4.262720770000001,155.63888899999984,0.0028224910000000936,0.0854722790000002
5,"Wainwright, Adam",425794.0,96.0,2021,0.1943523949999999,-1.183329266,0.9014967210000001,2.279178382,0.03157901000000152,1.732068999999683,0.03932509899999981,0.05863341900000041,2.251176676,0.3587362839999999,2.4435622710000002,-0.16635068899999994,15.579784990000007,609.8052860000003,0.03189478899999987,0.15384524800000055,,,,,,,,,0.37946813300000004,-2.1767130310000002,0.09188704399999992,1.705357854,6.314984129999999,514.6078269999998,0.12649723000000002,0.006922558000000301,0.48258249799999997,-0.493710094,1.591115893,1.6022434890000001,4.11544438,178.87166100000013,0.022343078000000016,0.0899902930000005
6,"Mills, Alec",621219.0,86.0,2020,0.556557099,-1.398526235,0.5561342589999999,2.511217593,0.10464506999998946,3.340964999999869,0.007699074000000028,0.06093981399999926,1.475706399,0.46774430499999997,2.4224047989999997,0.47895409499999997,23.26560164,192.93780800000013,0.02131324999999995,0.05732655099999917,0.803418779,0.7752127999999999,2.729873294,1.1512417149999998,12.401465239999993,398.8195719999999,0.020574073999999776,0.06467641400000002,0.29658179,-1.870679012,0.083981482,1.658078704,9.17214507,475.4190970000002,0.027453704000000023,0.12796296300000076,,,,,,,,
7,"DeSclafani, Anthony",543101.0,99.0,2021,0.42367865700000007,-1.733821343,0.496283699,2.653783699,0.0743187400000096,173.03123800000003,0.05632802199999998,0.02010989999999957,1.447502424,-0.40658896199999994,1.82351608,0.7826026180000001,11.041071429999988,127.16258499999981,0.11738849400000007,0.08197519299999989,0.549784945,-0.588131057,1.641973985,1.680320097,6.057678769999995,106.10354000000007,0.1302922769999999,0.02310908200000039,0.5218307769999999,-2.242314048,0.012209005999999967,1.708274265,5.776805629999998,509.03936699999986,0.22379541400000003,0.20068140600000017,,,,,,,,
8,"Singer, Brady",663903.0,87.0,2020,0.019205313999999918,-1.702223258,0.44477511000000003,2.166203682,0.43761360999999965,44.329993000000286,0.06022605399999992,0.025245863000000313,,,,,,,,,1.150199745,-0.604788274,1.542210094,0.996798623,10.22183163999999,146.64393599999994,0.1577465389999999,0.0013484640000003267,0.14030897200000003,-2.306308972,0.15931060400000008,2.006689396,5.5253278999999935,76.45856400000002,0.1396831970000001,0.025617291999999736,,,,,,,,
9,"Woodruff, Brandon",605540.0,103.0,2020,0.31440133400000003,-1.666077135,0.6030333769999999,2.583511846,0.3064438600000017,93.17126800000005,0.021009879000000176,0.007559743999999924,1.962926602,-0.785747114,1.4833633979999998,0.3061839099999999,12.740863219999994,242.22522500000014,0.06838136699999997,0.09364918099999997,1.054342685,-0.877979049,1.391131463,1.214767827,8.099895849999996,161.32212500000014,0.02907784000000002,0.07078555100000017,0.34016172499999997,-2.398510782,0.1294002700000001,1.928948787,9.534501339999991,546.1788629999999,0.028847708999999888,0.09475067400000015,,,,,,,,
