,FF-FF,FF-CU,FF-SL,FF-CH,FF-SI,FF-FC,CU-FF,CU-CU,CU-SL,CU-CH,CU-SI,CU-FC,SL-FF,SL-CU,SL-SL,SL-CH,SL-SI,SL-FC,CH-FF,CH-CU,CH-SL,CH-CH,CH-SI,CH-FC,SI-FF,SI-CU,SI-SL,SI-CH,SI-SI,SI-FC,FC-FF,FC-CU,FC-SL,FC-CH,FC-SI,FC-FC
"armstrong, shawn",10.652591170825335,,2.015355086372361,,8.253358925143955,8.061420345489443,,,,,,,2.495201535508637,,1.1516314779270633,,2.111324376199616,0.7677543186180422,,,,,,,8.061420345489443,,2.3032629558541267,,14.011516314779271,11.228406909788866,7.773512476007678,,1.1516314779270633,,11.132437619961612,8.73320537428023
"ashby, aaron",0.16295491580662683,0.48886474741988045,1.4122759369907658,0.6518196632265073,0.6518196632265073,,0.21727322107550243,1.3036393264530146,2.9875067897881586,3.4220532319391634,4.83432916892993,,1.3579576317218904,3.041825095057034,9.016838674633352,4.236827810972297,11.569799022270505,,0.8147745790331342,3.1504617055947857,5.268875611080935,4.888647474198804,6.898424769147203,,0.8147745790331342,4.780010863661054,10.483432916892992,7.821835958718087,9.66865833785986,,,,,,,
"ashcraft, graham",,,,,,,,,,,,,,,7.645996387718242,0.1806140878988561,5.839855508729681,14.027694160144492,,,0.1806140878988561,0.060204695966285374,0.30102347983142685,0.1806140878988561,,,6.923540036122818,0.12040939193257075,5.59903672486454,9.271523178807946,,,12.944009632751355,0.3612281757977122,10.174593618302227,26.128838049367854
"baker, bryan",32.36549957301452,,14.517506404782237,9.222886421861656,,,,,,,,,13.919726729291204,,8.710503842869342,3.928266438941076,,,9.82066609735269,,3.330486763450043,4.0990606319385146,,,,,,,,,,,,,,
"barlow, scott",5.342237061769616,7.178631051752922,11.185308848080133,,,,6.260434056761269,7.429048414023372,17.195325542570952,,0.1669449081803005,,11.853088480801336,16.193656093489146,16.110183639398997,,0.41736227045075125,,,,,,,,0.25041736227045075,0.1669449081803005,0.1669449081803005,,,,,,,,,
"barria, jaime",4.937163375224417,,7.450628366247755,3.5906642728904847,2.6032315978456015,,,,,,,,8.707360861759424,,24.14721723518851,4.757630161579892,9.694793536804308,,2.423698384201077,,6.014362657091562,3.231597845601436,2.154398563734291,,2.6032315978456015,,9.605026929982047,2.244165170556553,5.745062836624776,,,,,,,
"bassitt, chris",2.494802494802495,2.044352044352044,2.598752598752599,0.589050589050589,2.9452529452529452,2.4255024255024256,1.5246015246015245,2.4255024255024256,1.9404019404019404,0.9702009702009702,4.331254331254331,2.7027027027027026,2.6334026334026333,2.2176022176022174,3.3957033957033955,0.589050589050589,4.747054747054747,2.356202356202356,0.5544005544005544,0.6583506583506583,0.7623007623007623,0.7276507276507277,2.044352044352044,1.3167013167013166,3.8461538461538463,3.3264033264033266,4.885654885654886,1.7671517671517671,14.587664587664587,5.058905058905059,2.079002079002079,3.187803187803188,2.356202356202356,1.4206514206514207,4.816354816354816,3.6382536382536386
"beede, tyler",10.167910447761194,2.425373134328358,1.8656716417910446,7.08955223880597,2.0522388059701493,,2.7052238805970146,2.7052238805970146,1.1194029850746268,2.2388059701492535,2.7052238805970146,,3.264925373134328,0.6529850746268656,3.9179104477611943,2.5186567164179103,4.9440298507462686,,5.503731343283582,3.451492537313433,3.451492537313433,9.048507462686567,4.9440298507462686,,1.9589552238805972,2.2388059701492535,4.9440298507462686,5.503731343283582,8.488805970149253,,,,,,,
"berríos, josé",13.634693127526646,0.0735023888276369,,5.402425578831313,8.599779492833518,,0.0735023888276369,,,,0.0735023888276369,,,,,,,,5.806688717383315,,,4.4836457184858505,5.071664829106946,,8.232267548695333,0.0735023888276369,,5.475927967658949,12.164645350973908,,,,,,,
"bieber, shane",13.113043478260868,5.356521739130435,10.365217391304347,0.7652173913043478,,4.8,4.730434782608696,5.565217391304348,3.234782608695652,0.591304347826087,,3.756521739130435,10.365217391304347,3.860869565217391,12.452173913043477,0.3130434782608696,,2.5391304347826087,0.9043478260869564,0.4521739130434782,0.6956521739130435,0.034782608695652174,,0.2434782608695652,,,,,,,5.286956521739131,2.6434782608695655,2.782608695652174,0.6260869565217392,,4.48695652173913
"blackburn, paul",1.2485811577752552,2.383654937570942,0.681044267877412,1.362088535754824,2.837684449489217,2.894438138479001,3.1214528944381383,2.9511918274687856,0.7945516458569807,1.4755959137343928,4.313280363223609,3.5187287173666286,0.9080590238365494,0.9080590238365494,0.851305334846765,0.681044267877412,1.9863791146424516,0.7377979568671964,1.0783200908059023,1.3053348467650396,0.7377979568671964,2.3269012485811578,5.051078320090806,2.1566401816118046,2.6674233825198637,5.10783200908059,2.2701475595913734,4.19977298524404,12.769580022701476,7.150964812712826,2.383654937570942,3.5187287173666286,0.7377979568671964,2.6106696935300793,7.207718501702611,3.0079455164585696
