,#,Season,Name,Team,IP,Stf+ FF,Stf+ SI,Stf+ FC,Stf+ SL,Stf+ CU,Stf+ CH,fg_ID,key_mlbam,player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SL_release_spin_rate,mlbAM_ID,SI_pfx_x,SI_pfx_z,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,Year
62,98,2021,Kyle Hendricks,CHC,181.0,64.0,86.0,,,92.0,67.0,12049,543294,"Hendricks, Kyle",-1.095861183,1.242462006,-0.57278,,0.886696658,-0.977720365,1.28688,,-2.114151671,-2.119148936,-2.19582,,6.115706941,6.121762918,5.98538,,80.01735219,73.16534954,87.284,,2008.019531,2843.652174,1942.342857,,543294.0,-1.144808652,0.768194676,-2.092903494,6.047371048,87.30740433,1828.284874,,,,,,,2021
63,100,2020,Lance Lynn,TEX,84.0,113.0,98.0,88.0,,122.0,115.0,2520,458681,"Lynn, Lance",-0.703571429,0.364285714,-0.556171429,,0.765714286,-0.317647059,1.2997,,-3.157142857,-3.145294118,-3.076257143,,5.582857143,5.693613445,5.734242857,,85.0,83.9394958,93.99328571,,1843.785714,2608.663866,2491.005731,,458681.0,-1.111785714,0.595515873,-3.154087302,5.593214286,91.96865079,2327.166667,0.169169329,0.582300319,-3.231277955,5.626102236,89.41853035,2598.693291,2020
64,101,2023,Lance Lynn,2 Tms,183.2,92.0,94.0,105.0,96.0,108.0,55.0,2520,458681,"Lynn, Lance",-1.173393665,1.174034335,-0.265036337,0.324747475,0.517239819,-0.053304721,1.12712936,-0.240808081,-3.13321267,-3.332103004,-3.039425872,-3.141414141,5.418280543,5.408712446,5.636671512,5.581969697,84.88099548,80.79570815,92.44215116,82.98585859,1804.192661,2507.502165,2424.654692,2464.5,458681.0,-0.971215881,0.579404467,-3.034317618,5.564044665,91.35334988,2258.36409,0.217418478,0.490067935,-3.158097826,5.556902174,88.66453804,2572.553425,2023
65,102,2021,Lance McCullers Jr.,HOU,162.1,,83.0,93.0,142.0,115.0,80.0,14120,621121,"McCullers Jr., Lance",-1.436396867,0.990590778,,1.140291262,-0.022036554,-0.86685879,,0.380832178,-1.753237598,-1.707118156,,-1.714479889,5.220391645,5.298256484,,5.14149792,85.80339426,84.15619597,,85.98668516,1681.798429,2922.919075,,2797.290278,621121.0,-1.139272919,0.510389884,-1.528651212,5.353540569,93.92444679,2114.53903,0.244878049,0.488780488,-1.675609756,5.356097561,89.75365854,2537.560976,2021
66,104,2023,Logan Gilbert,SEA,190.2,88.0,111.0,,133.0,110.0,98.0,22250,669302,"Gilbert, Logan",-0.608538283,0.594464286,-0.51127451,0.067900807,0.33612529,-1.047704082,1.416331699,0.028823529,-1.243457077,-1.124132653,-1.039493464,-1.121095732,6.140069606,6.343112245,6.192271242,6.191430219,85.56798144,80.31173469,95.68299264,88.6633218,905.5336427,2324.386189,2000.179361,2008.56185,669302.0,-1.06,1.045,-1.48875,5.94625,92.5375,1704.666667,,,,,,,2023
67,106,2023,Logan Webb,SFG,216.0,88.0,106.0,,90.0,,111.0,17995,657277,"Webb, Logan",-0.938172205,,-0.815213675,1.02640416,-0.36929003,,0.836324786,0.041783061,-1.31429003,,-1.176068376,-1.377013373,4.959229607,,5.120683761,4.982139673,87.45611782,,92.64017094,84.27800892,1476.04414,,1980.188034,2559.030395,657277.0,-1.333773408,0.069616105,-1.200411985,5.111039326,92.29662921,1874.342155,,,,,,,2023
68,107,2020,Lucas Giolito,CHW,72.1,108.0,,,114.0,102.0,102.0,15474,608337,"Giolito, Lucas",-0.733007335,0.418333333,-0.591449511,0.29273743,1.064132029,-1.235,1.544560261,0.28877095,-1.329290954,-1.203333333,-1.26262215,-1.398547486,6.476308068,6.705833333,6.49,6.509162011,80.88533007,77.325,93.98403909,84.91452514,1410.191176,2492.666667,2348.964169,2094.497207,608337.0,,,,,,,,,,,,,2020
69,108,2021,Lucas Giolito,CHW,178.2,109.0,,,103.0,89.0,99.0,15474,608337,"Giolito, Lucas",-0.85029661,0.535882353,-0.555471988,0.225282132,1.071716102,-0.853529412,1.589547199,0.388667712,-1.587309322,-1.451058824,-1.495894091,-1.613526646,6.363474576,6.577411765,6.397490407,6.459858934,81.50275424,80.63176471,93.84888718,85.58887147,1491.653191,2382.282353,2344.914045,2027.76489,608337.0,,,,,,,,,,,,,2021
70,109,2023,Lucas Giolito,3 Tms,184.1,84.0,,,107.0,81.0,99.0,15474,608337,"Giolito, Lucas",-1.066563193,0.517346939,-0.458886398,0.137169811,0.9154102,-1.236122449,1.511240658,0.046692564,-1.310698448,-1.245918367,-1.190164425,-1.356082131,6.294201774,6.440204082,6.333415546,6.340277469,80.92727273,77.87959184,93.10650224,83.96947836,1546.846667,2333.979592,2173.361798,1977.577308,608337.0,,,,,,,,,,,,,2023
71,110,2020,Luis Castillo,CIN,70.0,95.0,88.0,,130.0,,121.0,15689,622491,"Castillo, Luis",-1.371763006,,-0.918108974,-0.002058824,0.080520231,,1.030160256,0.030784314,-2.806271676,,-2.637596154,-2.878235294,5.126618497,,5.538685897,5.236176471,88.21011561,,97.41858974,86.75588235,1942.306122,,2180.598706,2484.331683,622491.0,-1.496082474,0.353195876,-2.682817869,5.395670103,97.45429553,2099.734266,,,,,,,2020
72,111,2021,Luis Castillo,CIN,187.2,101.0,90.0,,111.0,,107.0,15689,622491,"Castillo, Luis",-1.398506224,,-0.944900222,0.038472727,0.078257261,,1.061740576,-0.029036364,-2.848049793,,-2.756419069,-2.868418182,5.034844398,,5.311152993,5.126109091,88.33381743,,97.13248337,86.37690909,1970.699791,,2324.678532,2440.801095,622491.0,-1.466470588,0.366724599,-2.72592246,5.203048128,97.31537433,2141.590361,,,,,,,2021
73,112,2023,Luis Castillo,SEA,197.0,95.0,82.0,,117.0,,83.0,15689,622491,"Castillo, Luis",-1.4821,,-0.997498243,0.094366197,0.11268,,1.130252987,0.015267606,-2.56612,,-2.417034434,-2.541492958,4.89556,,5.197266339,5.022014085,88.3474,,96.26001405,85.67830986,1905.586345,,2286.739316,2346.553495,622491.0,-1.54315331,0.404111498,-2.499233449,5.090958188,95.85836237,2098.019332,,,,,,,2023
74,113,2020,Marco Gonzales,SEA,69.2,,84.0,88.0,,95.0,105.0,15467,594835,"Gonzales, Marco",1.406291391,-0.745823529,0.912379958,,0.787350993,-1.119647059,1.421106472,,2.926953642,2.815941176,2.235845511,,5.401589404,5.423117647,5.729206681,,80.60993377,75.27058824,88.18851775,,2113.92053,2293.782353,2153.680672,,594835.0,,,,,,,-0.004101563,0.864257813,2.516328125,5.568203125,84.83359375,2153.140625,2020
75,115,2021,Marcus Stroman,NYM,179.0,82.0,101.0,108.0,122.0,83.0,73.0,13431,573186,"Stroman, Marcus",-1.011723356,1.371,-0.360833333,0.337555556,0.130725624,-0.171,1.100972222,-0.245777778,-1.124829932,-1.423,-0.980277778,-0.923777778,5.226689342,5.441,5.282638889,5.268666667,86.07120181,74.85,92.5875,87.24666667,1633.643991,2513.8,2437.5,2643.340909,573186.0,-0.817595486,0.347109375,-1.015564236,5.269392361,91.94114583,2283.568576,0.159383886,0.443696682,-1.090781991,5.254028436,89.90995261,2585.057416,2021
76,118,2020,Matthew Boyd,DET,60.1,79.0,82.0,,110.0,96.0,101.0,15440,571510,"Boyd, Matthew",1.328449198,-1.077654321,0.933443223,-0.281382114,0.558342246,-1.213580247,1.180586081,-0.289105691,2.707165775,2.316296296,2.639212454,2.879186992,5.715721925,6.098641975,5.82474359,5.442154472,79.0855615,74.11728395,91.72161172,79.32520325,1881.565217,2505.851852,2303.825688,2323.487805,571510.0,1.338846154,0.899230769,2.699615385,5.723076923,90.52692308,2255.346154,,,,,,,2020
77,119,2021,Max Fried,ATL,165.2,87.0,83.0,,116.0,108.0,80.0,13743,608331,"Fried, Max",0.987454545,-0.690564024,0.113977956,-0.745134168,0.456363636,-1.286615854,1.061342685,0.016386404,1.732727273,1.352073171,1.186032064,1.509087657,5.720181818,6.126067073,6.123707415,5.97254025,84.70363636,74.42972561,93.95701403,84.70679785,1411.454545,2650.030488,2113.864729,2484.481216,608331.0,0.881275862,0.872172414,1.189586207,6.081068966,93.45724138,1996.268966,,,,,,,2021
78,121,2020,Max Scherzer,WSN,67.1,121.0,,90.0,131.0,129.0,109.0,3137,453286,"Scherzer, Max",-1.208814433,1.202727273,-0.875250896,0.340982906,0.237989691,-0.739181818,1.302724014,0.209316239,-3.258659794,-3.191,-3.156469534,-3.30491453,5.374072165,5.596454545,5.533727599,5.372179487,84.91804124,77.13454545,94.65304659,85.46068376,1439.896907,2781.545455,2471.634409,2384.440171,453286.0,,,,,,,-0.06991453,0.748376068,-3.272136752,5.339145299,91.12136752,2573.641026,2020
79,122,2021,Max Scherzer,2 Tms,179.1,121.0,,102.0,115.0,91.0,90.0,3137,453286,"Scherzer, Max",-1.263016627,1.120649819,-0.88406535,0.24297048,0.329334917,-0.661624549,1.336177812,0.381309963,-3.292232779,-3.232707581,-3.220585106,-3.332712177,5.437577197,5.609061372,5.560691489,5.451476015,84.98004751,76.86353791,94.29848024,85.85701107,1446.159145,2660.692029,2435.912614,2272.924354,453286.0,,,,,,,-0.074037736,0.742113208,-3.33690566,5.404981132,90.15886792,2468.720755,2021
80,124,2023,Merrill Kelly,ARI,177.2,78.0,85.0,87.0,104.0,120.0,99.0,11156,518876,"Kelly, Merrill",-1.305694444,0.738019481,-0.612755344,0.132129032,0.078070988,-0.866038961,1.226852732,0.266774194,-1.715632716,-1.700422078,-1.767624703,-1.715870968,5.564537037,5.690519481,5.449821853,5.534451613,88.67530864,82.12532468,92.17719715,85.44322581,2138.472952,2569.035714,2345.302381,2320.458065,518876.0,-1.289298246,0.538011696,-1.676929825,5.471812865,92.41754386,2203.908824,-0.108681102,1.031732283,-1.79742126,5.459488189,90.8246063,2349.940945,2023
81,126,2023,Miles Mikolas,STL,201.1,74.0,86.0,,108.0,94.0,57.0,9803,571945,"Mikolas, Miles",-1.168837209,0.65657188,-0.469758745,0.308724227,0.714593023,-1.246524487,1.258287093,0.253634021,-2.279825581,-1.99328594,-2.08509047,-2.110541237,6.283023256,6.666619273,6.561688782,6.576134021,84.36918605,75.87914692,93.31893848,86.40309278,1640.529412,2492.131537,2275.149758,2335.178756,571945.0,-1.18049936,0.939820743,-2.099308579,6.490422535,92.66645327,2193.415918,,,,,,,2023
82,127,2023,Mitch Keller,PIT,194.1,100.0,93.0,99.0,142.0,91.0,84.0,17594,656605,"Keller, Mitch",-1.289777778,1.038674699,-0.750909091,1.541374502,0.291888889,-1.192771084,1.247051597,-0.032270916,-2.064333333,-1.86811245,-2.126167076,-2.107709163,5.953888889,6.093172691,5.826412776,5.842290837,90.71777778,77.98072289,95.16904177,82.75996016,1644.808989,2603.550607,2377.446494,2757.142,656605.0,-1.301412429,0.765268362,-2.095946328,5.823050847,93.86129944,2376.131542,0.298650794,0.459642857,-2.010873016,5.984880952,89.70687831,2455.785714,2023
83,128,2021,Nathan Eovaldi,BOS,182.1,105.0,,102.0,107.0,118.0,136.0,9132,543135,"Eovaldi, Nathan",-0.919005376,0.82298725,-1.014244139,0.503870968,0.136263441,-0.875846995,1.196192401,0.165409429,-2.100725806,-1.993515483,-2.187154406,-2.078312655,5.818198925,5.912459016,5.590727567,5.840868486,87.8983871,78.54626594,96.84850445,85.80545906,1536.378378,2085.845173,2112.916599,2156.476427,543135.0,,,,,,,0.042131148,0.966147541,-2.115491803,5.811256831,92.50437158,2280.983607,2021
84,132,2020,Patrick Corbin,WSN,65.2,78.0,89.0,,84.0,-228.0,112.0,9323,571578,"Corbin, Patrick",0.878666667,-0.259545455,0.663152174,-0.312790698,0.939333333,-0.153636364,1.27451087,0.072139535,2.341333333,2.344090909,2.220923913,2.378651163,6.354,6.648636364,6.446793478,6.385581395,77.71666667,65.04545455,90.17119565,79.20232558,1550.45,1851.590909,2157.715847,2241.006977,571578.0,1.114543011,1.043575269,2.244892473,6.397768817,90.12956989,2095.668464,,,,,,,2020
85,133,2021,Patrick Corbin,WSN,171.2,74.0,86.0,105.0,100.0,-122.0,63.0,9323,571578,"Corbin, Patrick",0.86862069,-0.313076923,0.672342342,-0.294047619,1.074224138,-0.105384615,1.25039897,0.032333333,2.167068966,2.275384615,2.143101673,2.364238095,6.408965517,6.662307692,6.436859717,6.373447619,81.54568966,64.70769231,92.26190476,80.7007619,1619.5,1786.269231,2147.842986,2215.334604,571578.0,1.171461837,1.053298836,2.143065977,6.384036223,92.60064683,2096.080415,-0.1225,0.5375,2.36125,6.34625,85.875,2268.375,2021
86,134,2023,Patrick Corbin,WSN,180.0,65.0,86.0,,84.0,,66.0,9323,571578,"Corbin, Patrick",1.055614973,,0.695410822,-0.219785156,0.734545455,,1.147655311,0.011230469,2.21197861,,2.153647295,2.402460938,6.309037433,,6.393847695,6.258554688,81.15080214,,91.80440882,80.46347656,1563.362162,,2094.949799,2149.988224,571578.0,1.218250825,0.870594059,2.189438944,6.313052805,92.09636964,2038.909244,,,,,,,2023
87,135,2021,Robbie Ray,TOR,193.1,107.0,108.0,,104.0,91.0,55.0,11486,592662,"Ray, Robbie",0.848672566,-0.10434555,0.681821601,-0.079307851,1.115840708,-0.007748691,1.42853842,0.597551653,2.761415929,2.669371728,2.510306287,2.578099174,5.959823009,6.130157068,6.052509404,6.033657025,88.21858407,82.53560209,94.77915099,88.64039256,1726.39823,2124.680628,2272.388381,2185.837474,592662.0,1.08125,1.22,2.36375,6.085,95.1375,2292.5,,,,,,,2021
88,137,2021,Sandy Alcantara,MIA,205.2,113.0,114.0,,132.0,117.0,114.0,18684,645261,"Alcantara, Sandy",-1.34043956,0.316835443,-0.882934132,-0.108835341,0.276868132,-0.318101266,1.147050898,0.283868809,-2.28271978,-2.296582278,-2.346766467,-2.351713521,5.994395604,6.046202532,5.961541916,5.905341365,91.82087912,83.72405063,98.06691617,90.42637216,2005.442308,2395.721519,2238.919162,2359.190094,645261.0,-1.439037801,0.611660939,-2.395750286,5.95139748,97.61912944,2324.499427,,,,,,,2021
89,139,2023,Sandy Alcantara,MIA,184.2,111.0,115.0,,116.0,161.0,107.0,18684,645261,"Alcantara, Sandy",-1.361276882,0.2825,-0.987772021,0.038594891,0.304274194,-0.254166667,1.128670121,0.336952555,-1.936827957,-1.908333333,-1.934369603,-1.913321168,6.014126344,6.1155,6.046873921,6.033321168,91.1297043,86.13333333,97.96614853,89.88120438,1967.983827,2461.583333,2253.927336,2366.662409,645261.0,-1.463139241,0.617050633,-1.968848101,6.018658228,97.64481013,2329.301266,,,,,,,2023
90,140,2021,Sean Manaea,OAK,179.1,,102.0,,,93.0,91.0,15873,640455,"Manaea, Sean",1.016772853,-1.242380952,0.66,-0.365762332,0.552285319,0.093809524,1.124347826,0.230874439,3.206606648,3.792857143,3.153478261,3.342511211,5.874224377,5.565238095,5.589130435,5.642825112,84.51551247,78.16190476,92.06521739,82.77242152,1372.034868,2109.095238,1957.0,2005.831839,640455.0,1.154485294,1.023042986,3.332002262,5.563071267,92.13274887,1996.576858,,,,,,,2021
91,141,2020,Shane Bieber,CLE,77.1,105.0,,92.0,122.0,121.0,108.0,19427,669456,"Bieber, Shane",-1.323904762,0.752123077,-0.740448718,0.112013889,0.395142857,-1.194461538,1.520876068,-0.340902778,-1.230952381,-1.1688,-1.144700855,-1.207430556,5.619619048,5.673107692,5.674615385,5.618055556,88.72,83.64276923,94.09636752,84.50138889,1664.638095,2351.932308,2356.07265,2550.833333,669456.0,,,,,,,0.158979592,0.751683673,-1.234795918,5.632653061,89.23571429,2528.336735,2020
92,145,2023,Sonny Gray,MIN,184.0,105.0,82.0,118.0,121.0,91.0,84.0,12768,543243,"Gray, Sonny",-1.132340426,1.07243129,0.03881201,1.30203125,0.4775,-1.197315011,1.041449086,-0.519670139,-1.041329787,-0.889577167,-0.902571802,-0.935260417,5.343617021,5.558710359,5.521501305,5.503333333,87.86542553,79.57251586,92.89751958,84.34548611,1715.364641,2644.334764,2536.736842,2707.298246,543243.0,-0.888167421,0.799140271,-0.831515837,5.522375566,92.78552036,2442.995423,0.447297297,0.071081081,-0.965702703,5.525324324,87.58135135,2711.546703,2023
93,146,2023,Spencer Strider,ATL,186.2,141.0,,,105.0,,85.0,27498,675911,"Strider, Spencer",-1.2104,,-0.50424425,0.470038168,1.037288889,,1.533406353,0.109456107,-2.210888889,,-2.004539978,-2.093148855,5.7748,,5.880164294,5.80240458,87.02533333,,97.24819277,85.61965649,2257.306667,,2362.229715,2345.255725,675911.0,,,,,,,,,,,,,2023
94,147,2023,Taijuan Walker,PHI,172.2,79.0,81.0,99.0,121.0,92.0,104.0,11836,592836,"Walker, Taijuan",-0.987497349,0.651851852,-0.753590264,0.86164557,0.196967126,-0.93191358,1.385821501,0.586455696,-2.054644751,-1.964567901,-1.824036511,-1.93556962,6.352767762,6.410864198,6.527971602,6.529240506,87.90805938,74.81790123,92.85496957,82.52911392,1413.782516,2351.689441,2113.444898,2588.179487,592836.0,-1.285737952,0.955331325,-1.84128012,6.469322289,92.43283133,1963.770739,0.232298387,0.876471774,-1.997862903,6.417983871,87.18044355,2381.704453,2023
95,148,2020,Trevor Bauer,CIN,73.0,126.0,161.0,90.0,135.0,96.0,63.0,12703,545333,"Bauer, Trevor",-0.8175,0.732622951,-0.80317029,1.47772973,1.105,-1.643934426,1.644130435,-0.246432432,-1.53,-1.354918033,-1.514365942,-1.700216216,5.615,5.93568306,5.616485507,5.495135135,84.975,79.68415301,93.50380435,80.61135135,1730.75,2932.704918,2779.416667,2949.102703,545333.0,-1.3275,1.2475,-1.635,5.39,94.075,2780.0,0.474556962,-0.088607595,-1.661181435,5.600675105,84.907173,2910.518987,2020
96,150,2021,Tyler Anderson,2 Tms,167.0,97.0,89.0,100.0,,89.0,69.0,12880,542881,"Anderson, Tyler",1.078970359,-0.493125,0.75671134,-0.264166667,1.136770671,-0.425,1.520762887,0.336666667,2.306053042,2.3375,2.125226804,3.232083333,6.033634945,6.075625,6.062938144,5.112916667,80.90218409,74.28125,90.56350515,79.98333333,1835.021875,2443.875,2290.556244,2458.291667,542881.0,1.521933086,0.583717472,3.040557621,5.163568773,88.92342007,2260.464684,-0.173436123,0.829662261,2.518751836,5.831600587,85.21145374,2488.530103,2021
97,152,2021,Tyler Mahle,CIN,180.0,111.0,,,97.0,,99.0,16358,641816,"Mahle, Tyler",-1.21108055,,-1.006261075,0.243218527,0.688742633,,1.428812758,0.563598575,-1.868506876,,-1.774282339,-1.892458432,5.468192534,,5.595558181,5.496294537,86.45088409,,94.03821618,86.72494062,1841.857988,,2336.324069,2535.23178,641816.0,,,,,,,0.172105263,0.699539474,-1.883947368,5.364078947,86.59605263,2431.546053,2021
98,153,2021,Wade Miley,CIN,163.0,83.0,85.0,109.0,106.0,77.0,94.0,8779,489119,"Miley, Wade",1.229674682,-0.883333333,0.232464455,-0.973432836,0.567553041,-0.727444444,1.387488152,0.329850746,2.046874116,1.838222222,1.518696682,2.145522388,6.183833098,6.331111111,6.479075829,6.033134328,81.90452617,74.70777778,89.86350711,79.19477612,1806.502158,2390.944444,2239.118483,2309.798507,489119.0,1.144193548,1.024193548,1.914193548,6.272258065,88.68387097,2025.0,-0.331077051,0.576106048,1.676362883,6.453736537,85.38740679,2276.406146,2021
99,154,2021,Walker Buehler,LAD,207.2,121.0,105.0,118.0,141.0,111.0,109.0,19374,621111,"Buehler, Walker",-1.085298013,0.891706731,-0.254482512,1.182741935,0.446490066,-1.232572115,1.50082798,0.066267281,-1.212450331,-0.725216346,-0.816095646,-0.928963134,5.526092715,5.848798077,5.781256246,5.610576037,91.47086093,80.13581731,95.34932191,84.86036866,1521.913907,2860.643373,2472.010014,2798.321016,621111.0,-1.109145299,1.123162393,-1.289273504,5.418632479,95.31923077,2341.111111,0.495503876,0.693507752,-1.000697674,5.609127907,91.5624031,2616.982558,2021
100,155,2020,Yu Darvish,CHC,76.0,119.0,107.0,100.0,133.0,148.0,69.0,13074,506433,"Darvish, Yu",-0.60407767,0.819621212,-0.509022989,0.695016949,0.620873786,-1.080757576,1.525747126,-0.128338983,-1.694757282,-1.646060606,-1.845804598,-1.875542373,5.825533981,5.793863636,5.766321839,5.749305085,90.20485437,77.53560606,95.86896552,84.88915254,1638.067961,2724.780303,2581.770115,2791.683051,506433.0,-1.1703,1.0434,-1.9482,5.7237,95.236,2491.63,0.110392157,1.119803922,-1.909215686,5.755686275,92.68431373,2676.705882,2020
101,156,2021,Yu Darvish,SDP,166.1,127.0,101.0,111.0,141.0,113.0,103.0,13074,506433,"Darvish, Yu",-0.628962963,0.775387931,-0.524232026,0.824385494,0.563185185,-1.153534483,1.584281046,-0.013176629,-1.415777778,-1.367413793,-1.559836601,-1.634150437,5.951703704,5.906724138,5.888415033,5.8980591,88.84888889,75.34525862,94.48153595,84.25668234,1455.481481,2715.560345,2512.905229,2778.134499,506433.0,-1.128034934,1.083886463,-1.69930131,5.774323144,93.97641921,2402.030568,0.120714286,1.073142857,-1.641857143,5.884857143,91.31714286,2663.9,2021
