,#,Season,Name,Team,IP,Stf+ FF,Stf+ SI,Stf+ FC,Stf+ SL,Stf+ CU,Stf+ CH,fg_ID,key_mlbam,player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SL_release_spin_rate,mlbAM_ID,SI_pfx_x,SI_pfx_z,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,Year
102,158,2023,Yusei Kikuchi,TOR,167.2,117.0,,,101.0,98.0,82.0,20633,579328,"Kikuchi, Yusei",0.756021898,-0.507440147,0.81678487,-0.208180575,0.609525547,-0.303112339,1.3471316,0.271395349,2.115766423,2.004456722,2.415043341,2.289452804,5.441459854,5.562946593,5.319338061,5.400437756,88.68467153,83.12633517,95.07358044,88.70656635,1724.01107,2535.575646,2340.106013,2426.637741,579328.0,,,,,,,,,,,,,2023
103,159,2020,Zac Gallen,ARI,72.0,110.0,79.0,90.0,,123.0,106.0,19291,668678,"Gallen, Zac",-1.108160377,0.524444444,-0.303256881,0.589166667,0.283915094,-0.776555556,1.477270642,0.081666667,-3.275330189,-3.149944444,-2.983738532,-3.125833333,5.618066038,5.830333333,5.945986239,5.875833333,84.8504717,81.23,93.23325688,87.05833333,1529.90566,2431.727778,2378.275862,2420.666667,668678.0,-1.15,1.305,-2.88,5.94,92.85,2191.5,0.539381818,0.282763636,-3.151527273,5.849018182,86.98727273,2345.992727,2020
104,161,2023,Zac Gallen,ARI,210.0,104.0,87.0,105.0,102.0,121.0,86.0,19291,668678,"Gallen, Zac",-1.052803532,0.330108401,-0.241905059,0.457477477,0.347196468,-0.891314363,1.413173017,0.092342342,-2.951854305,-2.826449864,-2.722004997,-2.809189189,5.758719647,5.884769648,5.97204872,5.853693694,86.82339956,82.49850949,93.55209244,87.45855856,1517.00883,2462.729252,2296.130081,2433.279279,668678.0,-0.8625,1.543333333,-2.748333333,5.955,92.59166667,2344.583333,0.289249249,0.707747748,-2.835435435,5.859189189,89.95555556,2342.791541,2023
105,162,2020,Zach Davies,SDP,69.1,,79.0,67.0,,96.0,96.0,13183,605200,"Davies, Zach",-1.200527523,0.803666667,,,0.686399083,-0.952333333,,,-2.027775229,-2.034,,,5.531743119,5.747666667,,,79.3733945,74.53666667,,,1727.860092,2509.1,,,605200.0,-1.208888889,1.04877551,-2.063265306,5.466689342,88.45170068,2051.161731,-0.434527027,1.140810811,-2.106148649,5.51777027,86.90135135,2184.14966,2020
106,163,2023,Zach Eflin,TBR,177.2,83.0,98.0,100.0,120.0,100.0,73.0,13774,621107,"Eflin, Zach",-1.313816794,0.959033675,-0.651446541,1.344220183,0.394274809,-0.614641288,1.175849057,0.040642202,-2.287099237,-2.216193265,-2.054402516,-2.273119266,5.967175573,6.041522694,5.901949686,5.961743119,86.4259542,79.06515373,92.90314465,79.94678899,1614.523077,2502.325513,2218.044025,2466.623853,621107.0,-1.391919806,0.498456865,-2.209671932,5.840437424,92.24349939,2099.608273,0.203035714,0.710595238,-2.246294643,5.895193452,88.4702381,2235.64881,2023
107,164,2020,Zack Greinke,HOU,67.0,76.0,74.0,,121.0,125.0,116.0,1943,425844,"Greinke, Zack",-1.094396552,0.883975155,-0.097083333,0.549647059,0.354137931,-0.920124224,1.448842593,0.466529412,-1.318836207,-1.085093168,-1.123449074,-1.186294118,6.247801724,6.273416149,6.343240741,6.321352941,86.18017241,70.55962733,88.13263889,84.45,1667.834783,2428.086957,2327.262181,2421.788235,425844.0,-1.12,1.19,-1.12,6.29,89.7,2259.0,,,,,,,2020
108,165,2021,Zack Greinke,HOU,171.0,79.0,85.0,,99.0,97.0,111.0,1943,425844,"Greinke, Zack",-1.064973822,0.951421801,-0.107641326,0.657025641,0.372164049,-0.87992891,1.373391813,0.246897436,-1.37104712,-1.208672986,-1.223245614,-1.277128205,6.310471204,6.33035545,6.40619883,6.376641026,86.35933682,71.18957346,88.93625731,83.58487179,1594.105448,2364.545024,2234.277344,2357.274359,425844.0,-1.083673469,0.923401361,-1.267619048,6.314829932,89.53061224,2156.142857,0.475,0.82,-2.18,6.27,85.2,2097.0,2021
109,166,2020,Zack Wheeler,PHI,71.0,89.0,111.0,,126.0,134.0,87.0,10310,554430,"Wheeler, Zack",-1.033444444,0.895688073,-0.495847458,,0.886666667,-1.058899083,1.174576271,,-1.589555556,-1.619266055,-1.485635593,,5.644444444,5.77587156,5.73779661,,90.16444444,80.06055046,96.94385593,,1643.466667,2620.880734,2333.739407,,554430.0,-1.21812766,1.011106383,-1.540468085,5.630085106,96.55617021,2196.46383,0.357953216,0.237426901,-1.67374269,5.634327485,89.7748538,2398.520468,2020
110,167,2021,Zack Wheeler,PHI,213.1,125.0,129.0,,97.0,112.0,63.0,10310,554430,"Wheeler, Zack",-1.156837607,0.81874269,-0.63745401,,0.831025641,-0.96254386,1.326166299,,-1.681623932,-1.683216374,-1.551272995,,5.553247863,5.632719298,5.68129507,,90.45128205,81.49619883,97.17601177,,1570.57265,2638.304094,2388.297496,,554430.0,-1.307798635,0.951211604,-1.624880546,5.5421843,96.68549488,2198.912969,0.193895131,0.488027466,-1.704219725,5.574706617,91.54931336,2391.24125,2021
111,168,2023,Zack Wheeler,PHI,192.0,112.0,105.0,,107.0,116.0,41.0,10310,554430,"Wheeler, Zack",-1.256923077,0.835955679,-0.524445255,1.126950904,0.881538462,-0.86,1.273547445,0.161886305,-2.006923077,-2.072603878,-1.968569343,-2.129224806,5.377692308,5.456177285,5.442065693,5.291989664,90.75384615,81.38254848,95.79240876,84.38217054,1796.384615,2742.080556,2494.529197,2634.603627,554430.0,-1.303380035,0.688669002,-1.988686515,5.337530648,95.17355517,2314.94709,0.211501104,0.499094923,-2.05584989,5.379558499,90.85253863,2571.115556,2023
