"","pitch_type","handedness","zone","pitch_speed","F_Runs"
"124","CH","L_L",9,89,5.94266636365133
"125","CH","L_L",9,90,8.46828492655956
"126","CH","L_L",9,91,-9.95617469726318
"127","CH","L_L",9,92,14.3243305241591
"128","CH","L_L",11,70,3.00733490206003
"129","CH","L_L",11,71,1.32699477055127
"130","CH","L_L",11,79,5.67036870313571
"131","CH","L_L",11,80,-5.11265237052938
"132","CH","L_L",11,81,-6.10467833085846
"133","CH","L_L",11,82,-6.81562735917323
"134","CH","L_L",11,83,-10.2869973492537
"135","CH","L_L",11,84,-5.41745195113398
"136","CH","L_L",11,85,-4.17460406929973
"137","CH","L_L",11,86,-7.0672017329412
"138","CH","L_L",11,88,-46.3224395205984
"139","CH","L_L",12,71,-9.19134218409647
"140","CH","L_L",12,74,-14.5702058499489
"141","CH","L_L",12,76,-10.19428
"142","CH","L_L",12,77,-3.30357081493183
"143","CH","L_L",12,78,-30.7622242824221
"144","CH","L_L",12,79,-8.92569872644911
"145","CH","L_L",12,80,1.35466146009319
"146","CH","L_L",12,81,-3.02822038874303
"147","CH","L_L",12,82,-4.0578353423539
"148","CH","L_L",12,83,-6.87887445464061
"149","CH","L_L",12,84,-7.75431068416669
"150","CH","L_L",12,85,-9.07380221876204
"151","CH","L_L",12,86,-5.8442569883249
"152","CH","L_L",12,87,-13.4269253664672
"153","CH","L_L",12,88,-5.25663027964284
"154","CH","L_L",12,89,-2.79176275432099
"155","CH","L_L",12,90,1.46604482271277
"156","CH","L_L",12,91,2.58058757072
"157","CH","L_L",12,92,2.88266319104691
"158","CH","L_L",13,75,-2.80152783688057
"159","CH","L_L",13,76,-4.3691631533994
"160","CH","L_L",13,77,-2.70693220817608
"161","CH","L_L",13,78,-6.88797757901482
"162","CH","L_L",13,79,-7.66682134212676
"163","CH","L_L",13,80,-3.07901851742752
"164","CH","L_L",13,81,-5.25187551072128
"165","CH","L_L",13,82,-2.76579666018639
"166","CH","L_L",13,83,-4.09110585236417
"167","CH","L_L",13,84,-4.26815149046431
"168","CH","L_L",13,85,-4.00511352432141
"169","CH","L_L",13,86,-1.55466514662147
"170","CH","L_L",13,87,-1.93327156788995
"171","CH","L_L",13,88,-1.63385359558797
"172","CH","L_L",13,89,-1.90994873013885
"173","CH","L_L",13,90,-8.03546023091982
"174","CH","L_L",13,91,-4.17290979039782
"175","CH","L_L",13,92,-4.02789327606594
"176","CH","L_L",13,93,-4.40489480850816
"177","CH","L_L",14,75,11.0724549373229
"178","CH","L_L",14,78,-6.20837932529721
"179","CH","L_L",14,79,-1.26080719699693
"180","CH","L_L",14,80,-0.821629731719558
"181","CH","L_L",14,81,0.855061477302601
"182","CH","L_L",14,82,0.801475850386433
"183","CH","L_L",14,83,-1.40822924340949
"184","CH","L_L",14,84,0.51287396648478
"185","CH","L_L",14,85,1.73025256871245
"186","CH","L_L",14,86,1.51062200796761
"187","CH","L_L",14,87,-0.735967534747671
"188","CH","L_L",14,88,-0.409055946275735
"189","CH","L_L",14,89,-1.72159764110435
"190","CH","L_L",14,90,1.0469288279918
"191","CH","L_L",14,91,-0.200501855828141
"192","CH","L_L",14,92,-6.73337018424026
"193","CH","L_L",14,93,-12.309438725822
"194","CH","L_R",1,76,-57.2958078749932
"195","CH","L_R",1,77,-1.30535684565342
"196","CH","L_R",1,79,7.2397467089089
"197","CH","L_R",1,80,-11.8177935448405
"198","CH","L_R",1,81,-4.08504958921364
"199","CH","L_R",1,82,6.50633060269317
"200","CH","L_R",1,83,1.97431565276086
"201","CH","L_R",1,84,-0.00719039179058751
"202","CH","L_R",1,85,-16.2183247985179
"203","CH","L_R",1,86,6.08077377050404
"204","CH","L_R",1,87,-4.68110978410465
"205","CH","L_R",1,88,3.53953976574383
"206","CH","L_R",1,89,-5.69601938098998
"207","CH","L_R",1,90,-12.6838039866625
"208","CH","L_R",1,91,-10.7972169109592
"209","CH","L_R",2,76,-15.5048619652434
"210","CH","L_R",2,77,-2.0747086170015
"211","CH","L_R",2,78,3.8573061510969
"212","CH","L_R",2,79,-12.860039660276
"213","CH","L_R",2,80,0.32548869037596
"214","CH","L_R",2,81,-4.99885463571562
"215","CH","L_R",2,82,0.409289359350859
"216","CH","L_R",2,83,-8.56732242641602
"217","CH","L_R",2,84,-0.851395330415259
"218","CH","L_R",2,85,-4.04518595518152
"219","CH","L_R",2,86,-6.33434283941235
"220","CH","L_R",2,87,-8.3538870314707
"221","CH","L_R",2,88,-6.11358895743343
"222","CH","L_R",2,89,-21.6347040443366
"223","CH","L_R",2,90,6.39986989021201
"224","CH","L_R",2,91,2.98509227508402
"225","CH","L_R",2,92,10.4321012993196
"226","CH","L_R",3,73,1.84808303177835
"227","CH","L_R",3,74,-49.1920941369691
"228","CH","L_R",3,75,-7.87039792705582
"229","CH","L_R",3,76,-0.135998471769862
"230","CH","L_R",3,77,-1.03275248164725
"231","CH","L_R",3,78,-7.04994933161865
"232","CH","L_R",3,79,2.90447383658123
"233","CH","L_R",3,80,0.787639033628745
"234","CH","L_R",3,81,0.66764958248072
"235","CH","L_R",3,82,-0.15898560348153
"236","CH","L_R",3,83,2.72303291922088
"237","CH","L_R",3,84,2.99733337831113
"238","CH","L_R",3,85,5.18216988298505
"239","CH","L_R",3,86,1.67512201136913
"240","CH","L_R",3,87,0.942721988026902
"241","CH","L_R",3,88,-0.565262203942151
"242","CH","L_R",3,89,0.682389709559208
"243","CH","L_R",3,90,-7.11345778896292
"244","CH","L_R",3,91,6.39820645873049
"245","CH","L_R",3,92,8.5619704279102
"246","CH","L_R",3,93,-8.61611653112012
"247","CH","L_R",4,75,-10.279558221612
"248","CH","L_R",4,77,-5.55572139986629
"249","CH","L_R",4,78,-2.97510885057845
"250","CH","L_R",4,79,-6.78381960947324
"251","CH","L_R",4,80,-13.7211093815217
"252","CH","L_R",4,81,-6.85096220125097
"253","CH","L_R",4,82,-5.64992742625449
"254","CH","L_R",4,83,1.06488808863362
"255","CH","L_R",4,84,2.78106421787767
"256","CH","L_R",4,85,-1.44755306115209
"257","CH","L_R",4,86,-1.52430576327877
"258","CH","L_R",4,87,2.98155333421874
"259","CH","L_R",4,88,-7.03494183783172
"260","CH","L_R",4,89,-5.87293205595659
"261","CH","L_R",4,90,-3.7753202159217
"262","CH","L_R",4,91,4.4309905974576
"263","CH","L_R",4,92,-10.6746555381313
"264","CH","L_R",5,72,-5.97829616086926
"265","CH","L_R",5,74,-17.6167740898123
"266","CH","L_R",5,75,9.47456938752278
"267","CH","L_R",5,76,2.39187705918313
"268","CH","L_R",5,77,-6.05847315373248
"269","CH","L_R",5,78,-9.66355670864656
"270","CH","L_R",5,79,-10.7589500102101
"271","CH","L_R",5,80,-5.71028598859049
"272","CH","L_R",5,81,-0.719727404369673
"273","CH","L_R",5,82,-7.00269804447588
"274","CH","L_R",5,83,-0.373692878504602
"275","CH","L_R",5,84,-6.44828199058778
"276","CH","L_R",5,85,-7.6451534212408
"277","CH","L_R",5,86,-6.35304548541746
"278","CH","L_R",5,87,-1.86115421928722
"279","CH","L_R",5,88,-2.62962146453281
"280","CH","L_R",5,89,-8.2737091674986
"281","CH","L_R",5,90,-4.15440377689032
"282","CH","L_R",5,91,3.68893519287954
"283","CH","L_R",5,92,-25.5840502545761
"284","CH","L_R",5,93,3.55553430307819
"285","CH","L_R",6,68,7.87163469195275
"286","CH","L_R",6,71,-23.6068311704349
"287","CH","L_R",6,73,-52.3191359625294
"288","CH","L_R",6,74,10.687978730128
"289","CH","L_R",6,75,2.4538791406428
"290","CH","L_R",6,76,-6.4519919657345
"291","CH","L_R",6,77,2.236455607291
"292","CH","L_R",6,78,1.88899696482619
"293","CH","L_R",6,79,0.301378593299224
"294","CH","L_R",6,80,3.4275179770398
"295","CH","L_R",6,81,5.21700492228955
"296","CH","L_R",6,82,3.01571339214515
"297","CH","L_R",6,83,1.61506244592136
"298","CH","L_R",6,84,2.12377942295844
"299","CH","L_R",6,85,1.612046650617
"300","CH","L_R",6,86,4.46069719791527
"301","CH","L_R",6,87,5.03195398404647
"302","CH","L_R",6,88,2.89171829889469
"303","CH","L_R",6,89,5.19870755711485
"304","CH","L_R",6,90,6.47956028158894
"305","CH","L_R",6,91,-3.59014732666105
"306","CH","L_R",6,92,-16.8110596858871
"307","CH","L_R",6,93,-15.7807881526783
"308","CH","L_R",6,97,15.1631057801555
"309","CH","L_R",7,76,-9.40271514836164
"310","CH","L_R",7,77,-17.2980407814287
"311","CH","L_R",7,78,-3.13798470334783
"312","CH","L_R",7,79,-5.87739751820067
"313","CH","L_R",7,80,-5.62742891560875
"314","CH","L_R",7,81,0.80285675222019
"315","CH","L_R",7,82,0.0136316165788231
"316","CH","L_R",7,83,-3.10788296833914
"317","CH","L_R",7,84,-2.44531101564187
"318","CH","L_R",7,85,-2.5612108798232
"319","CH","L_R",7,86,-1.91112898587667
"320","CH","L_R",7,87,-3.57712580074087
"321","CH","L_R",7,88,-5.79815249505984
"322","CH","L_R",7,89,-0.0504073771628921
"323","CH","L_R",7,90,-5.02073768647167
"324","CH","L_R",7,91,-2.00311813218344
"325","CH","L_R",7,92,2.01174453364793
"326","CH","L_R",7,93,6.19014863853998
"327","CH","L_R",7,96,-17.9255915177217
"328","CH","L_R",8,71,0.104479761175025
"329","CH","L_R",8,74,2.80170551819229
"330","CH","L_R",8,75,-5.69832063423117
"331","CH","L_R",8,76,8.55146714742753
"332","CH","L_R",8,77,-11.8191542078454
"333","CH","L_R",8,78,-2.98237918323521
"334","CH","L_R",8,79,-1.79412793199324
"335","CH","L_R",8,80,-5.02599682066496
"336","CH","L_R",8,81,-0.951751066853122
"337","CH","L_R",8,82,-0.690842733233175
"338","CH","L_R",8,83,-2.69530231506905
"339","CH","L_R",8,84,-0.3334481930059
"340","CH","L_R",8,85,-1.8096350823424
"341","CH","L_R",8,86,1.94666032052831
"342","CH","L_R",8,87,1.46254996246869
"343","CH","L_R",8,88,-2.55541785290185
"344","CH","L_R",8,89,1.02448957345678
"345","CH","L_R",8,90,-0.956043473209279
"346","CH","L_R",8,91,0.727349033322928
"347","CH","L_R",8,92,2.59827996256861
"348","CH","L_R",8,93,-8.10095370623571
"349","CH","L_R",9,69,-81.739541876698
"350","CH","L_R",9,71,-5.16107936270636
"351","CH","L_R",9,74,14.4967111177495
"352","CH","L_R",9,75,8.60547637105761
"353","CH","L_R",9,76,1.31463309523573
"354","CH","L_R",9,77,8.72574469216877
"355","CH","L_R",9,78,3.40693479805367
"356","CH","L_R",9,79,1.36690532509169
"357","CH","L_R",9,80,2.40847486900191
"358","CH","L_R",9,81,2.02869620339587
"359","CH","L_R",9,82,3.9954493476926
"360","CH","L_R",9,83,2.5028092366843
"361","CH","L_R",9,84,2.69146440020908
"362","CH","L_R",9,85,5.68438293838161
"363","CH","L_R",9,86,2.34701907009359
"364","CH","L_R",9,87,3.6581504044284
"365","CH","L_R",9,88,3.88482211892898
"366","CH","L_R",9,89,3.31716096995252
"367","CH","L_R",9,90,6.57618585603436
"368","CH","L_R",9,91,4.65151472892939
"369","CH","L_R",9,92,7.31557201600175
"370","CH","L_R",9,93,-6.60244312754173
"371","CH","L_R",11,75,-13.3169051155113
"372","CH","L_R",11,78,-10.0173329202455
"373","CH","L_R",11,79,-12.6444672193673
"374","CH","L_R",11,80,-2.74482647072303
"375","CH","L_R",11,81,-10.0146458696677
"376","CH","L_R",11,82,-10.9925255170434
"377","CH","L_R",11,83,-2.68012060704602
"378","CH","L_R",11,84,-14.1505510026204
"379","CH","L_R",11,85,4.22454011136411
"380","CH","L_R",11,86,-5.94409016765451
"381","CH","L_R",11,87,-17.7990892107324
"382","CH","L_R",11,88,-6.84145692738882
"383","CH","L_R",11,89,-8.73428139664796
"384","CH","L_R",11,90,-2.75834782197174
"385","CH","L_R",11,91,-19.1346941829531
"386","CH","L_R",11,92,-1.17414920548585
"387","CH","L_R",12,68,-7.19022899487767
"388","CH","L_R",12,70,-3.94656653408762
"389","CH","L_R",12,71,-17.0977834388076
"390","CH","L_R",12,72,-15.2309038832803
"391","CH","L_R",12,73,-9.9718149312337
"392","CH","L_R",12,74,-10.3683754445141
"393","CH","L_R",12,75,-3.35815616436585
"394","CH","L_R",12,76,-6.88614585647635
"395","CH","L_R",12,77,-8.05124497840549
"396","CH","L_R",12,78,-5.34489832080822
"397","CH","L_R",12,79,-8.70766252887412
"398","CH","L_R",12,80,-5.81362153375624
"399","CH","L_R",12,81,-6.49175372510909
"400","CH","L_R",12,82,-4.79197267502035
"401","CH","L_R",12,83,-3.99538890533851
"402","CH","L_R",12,84,-3.71730439497776
"403","CH","L_R",12,85,-4.30353813475642
"404","CH","L_R",12,86,-4.10443317434881
"405","CH","L_R",12,87,-2.52491701498926
"406","CH","L_R",12,88,-4.75017558370087
"407","CH","L_R",12,89,-3.94912994505532
"408","CH","L_R",12,90,-4.57295117473296
"409","CH","L_R",12,91,-4.93394555053074
"410","CH","L_R",12,92,-7.51964288651231
"411","CH","L_R",13,74,-8.61773772528524
"412","CH","L_R",13,75,-4.91939898566936
"413","CH","L_R",13,76,-3.73984797858191
"414","CH","L_R",13,77,-10.6367695277909
"415","CH","L_R",13,78,-7.50689719873534
"416","CH","L_R",13,79,-6.32566597600117
"417","CH","L_R",13,80,-6.76881434250622
"418","CH","L_R",13,81,-5.16172952359484
"419","CH","L_R",13,82,-5.21191204292653
"420","CH","L_R",13,83,-4.67942842542946
"421","CH","L_R",13,84,-5.37240822110866
"422","CH","L_R",13,85,-4.38763083578701
"423","CH","L_R",13,86,-4.83478616791544
"424","CH","L_R",13,87,-5.86367502412841
"425","CH","L_R",13,88,-5.12049095629978
"426","CH","L_R",13,89,-5.32673083335063
"427","CH","L_R",13,90,-7.56182342822945
"428","CH","L_R",13,91,-6.69494056861516
"429","CH","L_R",13,92,-9.59647902661934
"430","CH","L_R",13,93,-6.50691902491277
"431","CH","L_R",13,94,-4.60766215361399
"432","CH","L_R",14,72,-38.8108933557981
"433","CH","L_R",14,73,-5.2733846827987
"434","CH","L_R",14,74,-5.92412904154837
"435","CH","L_R",14,75,-1.89906816085157
"436","CH","L_R",14,76,-2.14544716160728
"437","CH","L_R",14,77,-2.82339380017009
"438","CH","L_R",14,78,-1.191072529059
"439","CH","L_R",14,79,-2.64920076795054
"440","CH","L_R",14,80,-1.20576851060197
"441","CH","L_R",14,81,0.134665195960371
"442","CH","L_R",14,82,-0.385531448374819
"443","CH","L_R",14,83,-0.470641092852975
"444","CH","L_R",14,84,-0.838815957091872
"445","CH","L_R",14,85,-0.587862722877818
"446","CH","L_R",14,86,0.281819122078102
"447","CH","L_R",14,87,-0.451130951248699
"448","CH","L_R",14,88,0.278290581882874
"449","CH","L_R",14,89,0.504351899369064
"450","CH","L_R",14,90,-1.30122635083192
"451","CH","L_R",14,91,-2.18968785649031
"452","CH","L_R",14,92,-2.36574568509989
"453","CH","L_R",14,93,-2.40064981884237
"454","CH","L_R",14,94,6.77189900518993
"455","CH","R_L",1,69,-34.7754758180778
"456","CH","R_L",1,70,-41.5223099728013
"457","CH","R_L",1,72,-1.51123072552862
"458","CH","R_L",1,74,-16.0052072332708
"459","CH","R_L",1,75,2.29428009193545
"460","CH","R_L",1,76,-0.310017256653927
"461","CH","R_L",1,77,-2.73694851977903
"462","CH","R_L",1,78,-2.81988594369078
"463","CH","R_L",1,79,-4.03628611676062
"464","CH","R_L",1,80,-9.68246179920614
"465","CH","R_L",1,81,-4.84441047059404
"466","CH","R_L",1,82,0.202631276268901
"467","CH","R_L",1,83,-1.05144271127041
"468","CH","R_L",1,84,-1.32345895276358
"469","CH","R_L",1,85,-5.02782506438036
"470","CH","R_L",1,86,-1.89531038859085
"471","CH","R_L",1,87,-4.03744854285577
"472","CH","R_L",1,88,-3.05533151287278
"473","CH","R_L",1,89,0.49395909547414
"474","CH","R_L",1,90,3.99547890577545
"475","CH","R_L",1,91,5.17244832784921
"476","CH","R_L",1,92,4.0546135887333
"477","CH","R_L",1,93,19.4942767852019
"478","CH","R_L",1,94,7.41809435531921
"479","CH","R_L",2,51,-37.4104276070853
"480","CH","R_L",2,70,-7.32533813115598
"481","CH","R_L",2,71,-15.7384909955535
"482","CH","R_L",2,76,-5.05572759992351
"483","CH","R_L",2,77,-3.63610191330989
"484","CH","R_L",2,78,0.785569270408103
"485","CH","R_L",2,79,15.7388451765691
"486","CH","R_L",2,80,0.0456207851788128
"487","CH","R_L",2,81,-2.06617845342643
"488","CH","R_L",2,82,-3.58523060751855
"489","CH","R_L",2,83,-0.24274180015314
"490","CH","R_L",2,84,-1.53273263824056
"491","CH","R_L",2,85,-4.84450922717753
"492","CH","R_L",2,86,-3.15835049660565
"493","CH","R_L",2,87,-11.1398088232451
"494","CH","R_L",2,88,-6.04063290681043
"495","CH","R_L",2,89,4.52679188346158
"496","CH","R_L",2,90,-3.12293720767391
"497","CH","R_L",2,91,-6.96463620203319
"498","CH","R_L",2,92,10.1634872232421
"499","CH","R_L",2,93,12.1216179947638
"500","CH","R_L",2,94,12.5047707028004
"501","CH","R_L",3,55,-29.9707647527126
"502","CH","R_L",3,58,-15.4303621716062
"503","CH","R_L",3,74,-7.8818699906599
"504","CH","R_L",3,77,12.1608887020148
"505","CH","R_L",3,78,-9.34241792700689
"506","CH","R_L",3,79,9.16931603159521
"507","CH","R_L",3,80,-4.94146858741986
"508","CH","R_L",3,81,0.0410315570880817
"509","CH","R_L",3,82,-8.97752538248278
"510","CH","R_L",3,83,-2.61163878202651
"511","CH","R_L",3,84,0.270412444964884
"512","CH","R_L",3,85,-3.38988583571868
"513","CH","R_L",3,86,-3.15928991617933
"514","CH","R_L",3,87,-6.68054292307955
