"","mlbAM_ID","Year","index","player_name","FF_pfx_z_diff","FF_pfx_x_CU_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_CU_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_CU_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_CU_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_CU_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_CU_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_CU_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_CU_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_CU_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_CU_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba","prediction"
"1",669456,2020,16,"Bieber, Shane",2.715337606,0.45401282,1.492571795,0.768752991,10.45359829,4.14034200000015,0.0240991450000001,0.0015076929999997,0.85355876,1.306475427,0.640109188,-1.093025855,0.858619660000002,198.901025,0.0386305559999999,0.0550521360000004,1.589604395,-0.129443224,2.076027839,-0.35698022,5.07723077,687.294213,0.0621523809999999,0.0534886440000006,1.73187100567717,0.162564246598425,1.95160548432283,0.487169931307087,13.503783298189,375.738844716535,0.152112006755905,0.136532222952756,1.946145211,1.35344113,0.593143485,-0.0004394039999999,5.59294506,176.404427,0.065995918,0.0404546310000002,26.3,3.1,121,0.153,0.263649717514124
"2",650644,2020,33,"Civale, Aaron",2.657242039,0.986501298,1.330768074,0.339972667,15.57807845,496.529178,0.085994259,0.0474784750000001,1.160213962,1.934972027,0.382297345,-1.15705541,6.55994822,132.72661,0.185259492,0.0933118080000001,2.041513853,0.035920632,2.28134874,-0.275755519,9.62220902,804.34211,0.397821001,0.260557571,2.295886005,0.189299984,2.127969388,-0.0213833669999999,16.07312027,567.8879,0.267168095,0.187102131,2.048927375,1.733913751,0.583355621,-0.268341997,11.72944589,338.348547,0.0970266540000001,0.0198853769999995,21.2,-0.4,150,0.27,0.263649717514124
"3",543243,2020,75,"Gray, Sonny",2.302905772,0.848381963,1.448527128,0.005996681,12.16727706,436.102847,0.0292795089999999,0.0340304480000002,0.585495791,2.418918609,0.122009518,-1.7114133,2.03538987,139.498499,0.070967908,0.107631971,2.046171261,-0.126086803,2.422995894,-0.25073783,8.92192376,739.052082,0.0154299119999999,0.191604692,1.88528262,-0.0555986060000002,2.352507697,-0.411626471,12.08674887,538.785984,0.083591222,0.0640345529999999,1.48554899235526,1.04376493313158,0.66381724118421,0.0831949583552632,9.43984237355263,230.349592236842,0.120286265921053,0.0761706560921052,28.4,1,125,0.356,0.263649717514124
"4",571760,2020,81,"Heaney, Andrew",1.599635723,1.446015308,1.630810848,1.784431263,12.30012214,114.811654,0.0129394710000001,0.154259559,1.07640379034188,1.29428530774359,0.336565772923077,-0.31071969442735,5.67282374350427,171.994402495726,0.175412860316239,0.153197056316239,0.96270805,1.646676304,1.831471844,1.14750359,3.75232588,544.778407,0.044942861,0.02084243,1.73187100567717,0.162564246598425,1.95160548432283,0.487169931307087,13.503783298189,375.738844716535,0.152112006755905,0.136532222952756,1.48554899235526,1.04376493313158,0.66381724118421,0.0831949583552632,9.43984237355263,230.349592236842,0.120286265921053,0.0761706560921052,24.8,0.7,89,0.264,0.263649717514124
"5",448179,2020,83,"Hill, Rich",2.619973605,1.863233678,2.394299854,3.151039781,15.07881518,455.626826,0.247822398,0.201057692,0.909460785,-0.866094771,0.335028595,1.440526961,2.08901143999999,85.2127220000002,1.011707516,1.239027778,2.319460785,1.979460785,2.510526961,2.850526961,10.71654412,1120.434944,0.137818627,0.287916666999999,1.545919118,2.587169118,3.118235294,2.076985294,13.22279412,500.997444,0.822610294,1.10625,1.651885027,0.766885027,1.297951203,2.182951203,10.53927139,406.434944,0.0876671120000001,0.046931818,46.4,1.1,136,0.304,0.263649717514124
"6",502706,2020,86,"Holland, Derek",1.091261645,0.799723183,1.026851211,1.318389673,11.42040192,150.854938,0.21280543,0.0340763910000001,1.07640379034188,1.29428530774359,0.336565772923077,-0.31071969442735,5.67282374350427,171.994402495726,0.175412860316239,0.153197056316239,1.060274364,0.828542081,1.055670109,1.287402392,3.6534425,47.2098739999997,0.0110004629999997,0.0371198539999992,0.910138613,1.125746922,1.35287495,1.137266641,11.61377101,220.472154,0.114962472,0.0284378749999998,1.48554899235526,1.04376493313158,0.66381724118421,0.0831949583552632,9.43984237355263,230.349592236842,0.120286265921053,0.0761706560921052,37.3,-2.4,89,0.37,0.263649717514124
"7",543475,2020,112,"Lyles, Jordan",2.70625942,0.575699254,1.153553083,0.977007083,12.57556004,355.866808,0.080401559,0.101862954,1.546542535,1.603542535,0.125709802,-0.182709802,5.88602924,145.176995,0.0930258809999999,0.0555032350000006,2.077599516,0.123247664,1.606004673,0.348347179,7.09450502,1040.39936,0.272195397,0.215332294,2.355300509,0.0618858749999999,1.667366462,0.626048172,12.04475344,409.447914,0.248078414,0.17393663,1.48554899235526,1.04376493313158,0.66381724118421,0.0831949583552632,9.43984237355263,230.349592236842,0.120286265921053,0.0761706560921052,29.8,-0.5,117,0.277,0.263649717514124
"8",605400,2020,135,"Nola, Aaron",1.999645425,-0.302426004,2.410824697,-0.108753268,14.24111578,318.351992,0.00053338,0.123737395,1.07640379034188,1.29428530774359,0.336565772923077,-0.31071969442735,5.67282374350427,171.994402495726,0.175412860316239,0.153197056316239,1.049029183,-0.358454893,2.466853586,-1.05936951,6.31316765,981.145123,0.149531452,0.235243537,1.53790349,-0.599717478,2.708116171,-0.570495203,13.17328168,397.837207,0.0021336709999999,0.13621205,1.48554899235526,1.04376493313158,0.66381724118421,0.0831949583552632,9.43984237355263,230.349592236842,0.120286265921053,0.0761706560921052,26.7,1.6,147,0.256,0.263649717514124
"9",425794,2020,180,"Wainwright, Adam",2.395834204,0.986996995,1.589828848,-0.180991639,15.6666057,572.529527,0.0331650119999999,0.103583747,1.07640379034188,1.29428530774359,0.336565772923077,-0.31071969442735,5.67282374350427,171.994402495726,0.175412860316239,0.153197056316239,1.751339766,0.0435136790000001,2.533312164,-0.825486077,8.35512946,1107.341964,0.217360772,0.132410845,2.121562333,0.164498841,2.412327002,-0.45526351,15.7827002,603.125781,0.0167223999999999,0.168019886,1.683046236,1.675581447,0.901244396,-0.893779607,11.51997943,447.486892,0.019544891,0.0825476069999995,38.3,2.4,137,0.27,0.263649717514124
"10",666120,2021,201,"Anderson, Ian",1.982909119,0.0828018019999999,0.528285154,1.371822163,13.92062778,149.785063,0.085669035,0.0108734889999997,1.07640379034188,1.29428530774359,0.336565772923077,-0.31071969442735,5.67282374350427,171.994402495726,0.175412860316239,0.153197056316239,1.539778667,-0.31177104,0.922857996,0.928691711,7.406851,249.29894,0.0873377829999999,0.006145182,1.937731884,-0.458934783,1.070021739,1.326644928,13.4689855,185.175363,0.0673405799999999,0.0613840579999998,1.48554899235526,1.04376493313158,0.66381724118421,0.0831949583552632,9.43984237355263,230.349592236842,0.120286265921053,0.0761706560921052,21.1,-0.5,89,0.312,0.263649717514124
