"","mlbAM_ID","Year","index","player_name","FF_pfx_z_diff","FF_pfx_x_SL_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_SL_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","CU_pfx_z_diff","CU_pfx_x_SL_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_SL_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_SL_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_SL_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_SL_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_SL_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_SL_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_SL_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba","prediction"
"1",664141,2020,21,"Brubaker, JT",0.994015915,-0.876501326,0.802001326,1.068515915,5.90143236,384.315649,0.0121498679999998,0.0652944299999997,0.855937063,0.474608391,0.549108391,-0.781437063,6.91706293999999,223.197203,0.141933567,0.141300699,0.418725275,-1.305846154,1.231346154,0.493225275,0.325274719999996,875.798901,0.175313186,0.146010989,0.583082924,-1.531952537,1.457452537,0.657582924,6.26569012,335.256955,0.0255512819999998,0.0132956900000005,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,32.3,1.3,109,0.289,0.274843450479233
"2",605164,2020,23,"Bundy, Dylan",1.669792569,-0.324973513,0.766502924,1.228263158,10.0693292,114.583624,0.193393188,0.150443412,0.988005603,0.759893557,0.318364146,-1.429535014,6.45422968999999,189.012886,0.291635854,0.227070028,0.78310852,-0.998089636,1.439619047,0.341579109,2.29185326000001,918.055181,0.147439595,0.0620524080000004,1.40772549,-0.983686275,1.425215686,0.966196079,10.74509804,189.996079,0.288745098,0.209843137,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,25,2.7,104,0.179,0.274843450479233
"3",471911,2020,27,"Carrasco, Carlos",1.230167258,-0.76208405,1.051110896,0.941140412,7.69517375999999,307.958247,0.064215187,0.090395129,0.601044929,0.756177293,0.467150447,-0.890071775,2.55071775,150.02463,0.107740493,0.0645945189999999,0.117370987,-0.609791175,0.898818021,-0.171655859,1.67296843999999,1463.073083,0.0487765290000001,0.0444819059999996,0.623622262,-1.329019248,1.618046094,0.334595416,6.33840699,423.077496,0.0094922119999998,0.0026617710000005,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,27.1,1.8,112,0.29,0.274843450479233
"4",656302,2020,32,"Cease, Dylan",1.664247406,-0.0132863129999999,0.946864295,0.730669424,12.44326775,284.929896,0.116910608,0.141698396,1.166272444,0.968975081,0.0353970989999999,-2.099850426,6.04519635000001,120.811972,0.156729949,0.0141908129999999,1.574117139,-0.166897354,1.100475336,0.640539157,2.14769312,1076.252641,0.164110491,0.0332322830000002,0.760013892791855,-0.737604987321267,1.73011990544796,0.546594293162896,8.858113309819,270.321756085973,0.14323634559276,0.0895830371764706,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,30.1,1.2,126,0.304,0.274843450479233
"5",543037,2020,39,"Cole, Gerrit",1.20278481,-1.305094937,1.436885478,1.070994269,8.00448596999999,76.470108,0.0263701680000001,0.0606106740000003,1.230652439,0.503542683,0.371752142,-1.36244298,5.34717040000001,221.617419,0.039400131,0.0886623269999997,0.593936567,-1.579197761,1.710988302,0.462146026,0.394196250000007,831.353822,0.0459620819999999,0.211615067,1.044583333,-1.645416667,1.777207208,0.912792792,7.25754504999999,76.911036,0.185315316,0.238231982,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,24.6,1.3,132,0.204,0.274843450479233
"6",571578,2020,40,"Corbin, Patrick",1.202371335,0.591012639,0.975942872,1.587301568,10.96887007,83.2911300000001,0.15772725,0.061212083,0.225775899,-0.33168499,0.053245243,0.159154334,14.15687103,389.416068,0.0345602539999996,0.263054969,0.867193798,0.806527132,1.191457365,1.252124031,1.48565891,690.556977,0.0373178299999996,0.0315813949999999,0.971435734,1.042403476,1.427333709,1.356365967,10.92724431,145.338513,0.13375869,0.0121874220000002,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,40.3,1.3,84,0.256,0.274843450479233
"7",506433,2020,44,"Darvish, Yu",1.654086109,-0.380684006,1.204039938,0.830730177,10.97981298,209.912936,0.029737775,0.0170167540000001,0.952418593,0.947960195,0.124604263,-1.775774525,7.35354647999999,66.902748,0.229481767,0.0445585510000006,0.749212769,-0.475738687,1.299094619,-0.074143163,5.31570183000001,1153.61509,0.180785091,0.0762288960000008,1.171738983,-1.041961017,1.865316949,0.348383051,10.34684746,300.053051,0.0726576269999998,0.0256050849999995,1.248142905,0.23873114,0.584624792,0.424786973,7.79516119,114.977169,0.0336733129999999,0.0063811900000008,36.2,3.2,133,0.332,0.274843450479233
"8",594798,2020,45,"deGrom, Jacob",0.981747697,-0.98778079,0.881378805,1.088149682,6.06370638999999,87.91653,0.0180405799999998,0.055721772,0.773985112,0.192014888,0.298416873,-0.667583127,8.43779983,66.5926380000001,0.0185533499999999,0.0735938789999997,0.0945892789999999,-1.537974695,1.43157271,0.011812706,1.10707067000001,927.428195,0.1218529,0.0435936210000003,0.760013892791855,-0.737604987321267,1.73011990544796,0.546594293162896,8.858113309819,270.321756085973,0.14323634559276,0.0895830371764706,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,35.5,1.5,143,0.269,0.274843450479233
"9",677976,2020,48,"Dobnak, Randy",0.636949644,-0.900991533,1.044438503,0.493502674,9.47664885,340.133912,0.016510695,0.0302205879999997,0.967135185802752,0.223655317472477,0.301723818577982,-1.10186294031193,6.36170818279817,140.690878756881,0.17138771837156,0.149404311463303,0.25868542,-1.292708023,1.436154993,0.11523845,2.16425733,660.461363,0.164824889,0.162315574,0.067736511,-1.226821877,1.370268847,-0.211183481,7.98837768,452.955808,0.0967461200000001,0.0975304880000003,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,35.3,2.2,110,0.237,0.274843450479233
"10",607536,2020,63,"Freeland, Kyle",0.78541668,0.22374304,0.754682889,1.316356529,5.92311007000001,33.5006640000001,0.37988769,0.380891874,1.004768052,-0.719343523,0.188403674,-0.473828203,5.88704426,25.6877570000001,0.189841112,0.160029790999999,0.0274227239999999,0.548089391,1.07902924,0.558362573,0.185678089999996,1094.485102,0.080068226,0.0931422999999993,0.189008288,0.833606828,1.364546677,0.719948137,5.15158333000001,81.2735579999999,0.0199884750000001,0.103492124,0.592588361405063,0.0417066740886076,0.538416226746835,0.145182208620253,5.20505476189873,122.55335813924,0.120203871873418,0.080684217392405,23.7,-0.4,92,0.317,0.274843450479233
"11",502043,2020,69,"Gibson, Kyle",1.410464738,-0.410484629,0.922841772,0.898107595,9.48383363000001,214.134691,0.240539783,0.156466546,0.660756493,0.583675325,0.0713181819999999,-1.173113636,4.19379869999999,56.9571430000001,0.0251103889999999,0.0267240259999992,0.624763547,-1.167748768,1.680105911,0.112406404,1.46778325000001,823.435591,0.0534310339999999,0.033935961,1.107659612,-1.09964903,1.612006173,0.595302469,9.30056437,345.59881,0.264231923,0.152305114,0.541857143,0.463857143,0.0484999999999999,0.0294999999999999,4.73142857000001,212.267857,0.140928571,0.0635714290000004,24.6,-1.1,109,0.246,0.274843450479233
